





Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Mus musculus - REFLIST (21997)	upload_1 (1389)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of blood pressure (GO:0045776)	8	5	.51	+	9.90	6.32E-04	8.01E-03
sensory organ morphogenesis (GO:0090596)	7	4	.44	+	9.05	2.92E-03	2.64E-02
chemical synaptic transmission, postsynaptic (GO:0099565)	13	6	.82	+	7.31	6.02E-04	7.68E-03
calcium-ion regulated exocytosis (GO:0017156)	26	11	1.64	+	6.70	6.35E-06	2.43E-04
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	17	6	1.07	+	5.59	1.83E-03	1.83E-02
epidermal growth factor receptor signaling pathway (GO:0007173)	21	7	1.33	+	5.28	1.01E-03	1.12E-02
regulation of protein secretion (GO:0050708)	15	5	.95	+	5.28	5.37E-03	4.31E-02
regulation of synaptic plasticity (GO:0048167)	25	8	1.58	+	5.07	5.54E-04	7.20E-03
regulation of ERBB signaling pathway (GO:1901184)	19	6	1.20	+	5.00	2.89E-03	2.63E-02
ERBB signaling pathway (GO:0038127)	24	7	1.52	+	4.62	1.92E-03	1.88E-02
regulation of potassium ion transmembrane transport (GO:1901379)	22	6	1.39	+	4.32	5.29E-03	4.28E-02
activation of GTPase activity (GO:0090630)	56	15	3.54	+	4.24	1.47E-05	4.79E-04
calcium ion import (GO:0070509)	30	8	1.89	+	4.22	1.50E-03	1.55E-02
fibroblast growth factor receptor signaling pathway (GO:0008543)	30	8	1.89	+	4.22	1.50E-03	1.54E-02
potassium ion transmembrane transport (GO:0071805)	110	29	6.95	+	4.18	2.47E-09	2.74E-07
potassium ion transport (GO:0006813)	111	29	7.01	+	4.14	2.94E-09	2.96E-07
regulation of potassium ion transport (GO:0043266)	23	6	1.45	+	4.13	6.34E-03	4.94E-02
glutamine family amino acid metabolic process (GO:0009064)	27	7	1.70	+	4.11	3.35E-03	2.95E-02
regulation of calcium ion transport (GO:0051924)	27	7	1.70	+	4.11	3.35E-03	2.94E-02
regulation of metal ion transport (GO:0010959)	69	17	4.36	+	3.90	1.03E-05	3.53E-04
regulated exocytosis (GO:0045055)	57	14	3.60	+	3.89	6.30E-05	1.49E-03
regulation of cation transmembrane transport (GO:1904062)	71	17	4.48	+	3.79	1.42E-05	4.71E-04
regulation of transmembrane transporter activity (GO:0022898)	60	14	3.79	+	3.70	1.01E-04	2.12E-03
regulation of ion transmembrane transporter activity (GO:0032412)	60	14	3.79	+	3.70	1.01E-04	2.10E-03
regulation of transporter activity (GO:0032409)	60	14	3.79	+	3.70	1.01E-04	2.08E-03
regulation of cation channel activity (GO:2001257)	39	9	2.46	+	3.65	1.84E-03	1.83E-02
regulation of ion transport (GO:0043269)	120	27	7.58	+	3.56	1.43E-07	8.58E-06
regulation of ion transmembrane transport (GO:0034765)	92	20	5.81	+	3.44	8.95E-06	3.15E-04
action potential (GO:0001508)	37	8	2.34	+	3.42	4.57E-03	3.80E-02
regulation of transmembrane transport (GO:0034762)	96	20	6.06	+	3.30	1.54E-05	4.95E-04
sodium ion transmembrane transport (GO:0035725)	77	16	4.86	+	3.29	1.09E-04	2.20E-03
regulation of exocytosis (GO:0017157)	55	11	3.47	+	3.17	1.64E-03	1.66E-02
regulation of GTPase activity (GO:0043087)	135	27	8.52	+	3.17	1.07E-06	4.95E-05
regulation of membrane potential (GO:0042391)	116	23	7.32	+	3.14	7.42E-06	2.79E-04
axon guidance (GO:0007411)	96	19	6.06	+	3.13	4.59E-05	1.19E-03
neuron projection guidance (GO:0097485)	96	19	6.06	+	3.13	4.59E-05	1.17E-03
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	198	39	12.50	+	3.12	6.85E-09	5.64E-07
regulation of secretion by cell (GO:1903530)	82	16	5.18	+	3.09	2.05E-04	3.56E-03
positive regulation of GTPase activity (GO:0043547)	114	22	7.20	+	3.06	1.68E-05	5.33E-04
positive regulation of kinase activity (GO:0033674)	78	15	4.93	+	3.05	3.67E-04	5.16E-03
calcium ion transport (GO:0006816)	90	17	5.68	+	2.99	1.85E-04	3.29E-03
regulation of cyclase activity (GO:0031279)	117	22	7.39	+	2.98	2.39E-05	6.80E-04
regulation of lyase activity (GO:0051339)	117	22	7.39	+	2.98	2.39E-05	6.71E-04
sodium ion transport (GO:0006814)	91	17	5.75	+	2.96	2.08E-04	3.58E-03
activation of adenylate cyclase activity (GO:0007190)	75	14	4.74	+	2.96	7.37E-04	9.04E-03
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	75	14	4.74	+	2.96	7.37E-04	8.99E-03
regulation of neurogenesis (GO:0050767)	59	11	3.73	+	2.95	2.66E-03	2.46E-02
metal ion transport (GO:0030001)	317	59	20.02	+	2.95	7.51E-12	3.34E-09
