,X,res_2.rownames,log_mean_counts,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logpadj,significant,change,SYMBOL,annotation
1,14,peak14,1.468895464,29.43712986,-2.813996973,0.572840019,-4.912361004,9.00E-07,7.44E-05,4.128167896,Sig,Down,Rgs20,Promoter
2,15,peak15,0.958729926,9.093476027,-2.359717413,0.84211384,-2.802135888,0.005076549,0.04904072,1.309443159,Sig,Down,Rgs20,Promoter
3,17,peak17,1.853411154,71.35282195,-2.364905161,0.309511273,-7.640772288,2.16E-14,1.32E-11,10.88042782,Sig,Down,Rgs20,Promoter
4,18,peak18,1.147985492,14.06000553,-1.807124987,0.635237825,-2.844800667,0.004443922,0.044770785,1.349005293,Sig,Down,Rgs20,Promoter
5,89,peak89,2.163598669,145.7466795,-1.106771928,0.206479068,-5.360213696,8.31E-08,9.68E-06,5.013942929,Sig,Down,Sulf1,Promoter
6,120,peak120,1.785723313,61.0552921,-1.043207113,0.287362235,-3.630286049,0.000283107,0.006768897,2.16948207,Sig,Down,Msc,Promoter
8,342,peak342,1.624923209,42.16219465,-1.097058128,0.354245756,-3.096884325,0.001955662,0.02622104,1.581350084,Sig,Down,Slc9a2,Promoter
9,343,peak343,1.848204365,70.50247535,-1.239173097,0.273610972,-4.528959821,5.93E-06,0.00035802,3.446093197,Sig,Down,Slc9a2,Promoter
10,385,peak385,1.434862428,27.21838969,-1.409113117,0.454727757,-3.098806032,0.001943022,0.026096562,1.583416706,Sig,Down,Pantr2,Promoter
11,386,peak386,1.881963379,76.20147528,-1.990531117,0.288581119,-6.897648481,5.29E-12,1.89E-09,8.723462718,Sig,Down,Pantr2,Promoter
12,397,peak397,1.480188505,30.21262814,-1.361854988,0.471137124,-2.890570322,0.003845435,0.040438167,1.393208543,Sig,Down,Gulp1,Promoter
14,555,peak555,1.250330936,17.79634992,-1.543968111,0.547186266,-2.821649972,0.004777729,0.047069103,1.327264076,Sig,Down,Vwc2l,Promoter
15,570,peak570,1.51184648,32.49724019,-1.882061052,0.469207672,-4.011147225,6.04E-05,0.002200892,2.657401258,Sig,Down,Apol7d,Promoter
16,571,peak571,1.233702533,17.12783747,-2.659437959,0.663759047,-4.006631578,6.16E-05,0.002225138,2.652642992,Sig,Down,Apol7d,Promoter
19,671,peak671,1.538372121,34.54395994,-1.516215874,0.416070238,-3.644134416,0.000268293,0.006504698,2.186772842,Sig,Down,Obsl1,Promoter
20,726,peak726,1.658479065,45.54902287,-1.277191897,0.341594603,-3.738911234,0.000184819,0.004999112,2.301107134,Sig,Down,Epha4,Promoter
21,764,peak764,1.663657012,46.09533882,-2.052863364,0.364058325,-5.638830985,1.71E-08,2.56E-06,5.591693903,Sig,Down,Serpine2,Promoter
22,766,peak766,1.405078821,25.41433915,-2.171016726,0.495458883,-4.38183026,1.18E-05,0.00062577,3.203585116,Sig,Down,Serpine2,Promoter
25,943,peak943,2.271192714,186.7208063,-1.412532394,0.215750052,-6.547077871,5.87E-11,1.69E-08,7.772207772,Sig,Down,Arl4c,Promoter
26,944,peak944,1.720454052,52.53564304,-1.641037848,0.382268937,-4.292888304,1.76E-05,0.000872173,3.059397177,Sig,Down,Arl4c,Promoter
28,1043,peak1043,1.263948156,18.36319119,-1.762804683,0.587158381,-3.002264362,0.002679793,0.032085318,1.493693653,Sig,Down,Ankmy1,Promoter
30,1056,peak1056,1.239185283,17.34543847,-1.944819523,0.611250181,-3.181707886,0.001464094,0.021707393,1.663392336,Sig,Down,Bok,Promoter
31,1057,peak1057,1.445550842,27.89657219,-1.606932042,0.461498158,-3.481990153,0.000497702,0.010138519,1.994025488,Sig,Down,Bok,Promoter
32,1089,peak1089,0.951596512,8.945332988,-2.522111887,0.866907743,-2.90931983,0.003622161,0.038880636,1.41026664,Sig,Down,Pam,Promoter
33,1090,peak1090,1.544653657,35.04722664,-2.914001581,0.532754094,-5.469693457,4.51E-08,5.99E-06,5.222373708,Sig,Down,Pam,Promoter
34,1128,peak1128,1.785245376,60.98813819,-2.138761914,0.351725842,-6.080764217,1.20E-09,2.53E-07,6.596701777,Sig,Down,Cdh20,Promoter
35,1129,peak1129,1.067237673,11.67448342,-2.910932932,0.833592548,-3.492033295,0.000479358,0.009887881,2.00489675,Sig,Down,Cdh20,Promoter
36,1136,peak1136,1.867592653,73.72124365,-1.839752961,0.291101556,-6.31996951,2.62E-10,6.56E-08,7.182915017,Sig,Down,Gm17634,Promoter
37,1189,peak1189,1.636140546,43.26538236,-2.980486678,0.522309096,-5.706365643,1.15E-08,1.85E-06,5.732699332,Sig,Down,Gli2,Promoter
39,1256,peak1256,1.606789924,40.43802387,-1.616014075,0.401809225,-4.021844133,5.77E-05,0.002138325,2.669926256,Sig,Down,Dpp10,Promoter
40,1257,peak1257,1.800141146,63.11624388,-1.230504229,0.292542057,-4.206247265,2.60E-05,0.001145089,2.941160781,Sig,Down,Dpp10,Promoter
42,1356,peak1356,1.504810944,31.97502874,-2.413258925,0.468203453,-5.154295439,2.55E-07,2.51E-05,4.601007889,Sig,Down,Cxcr4,Promoter
43,1357,peak1357,1.657268635,45.42224913,-2.241585431,0.416244435,-5.38526222,7.23E-08,8.70E-06,5.060560725,Sig,Down,Cxcr4,Promoter
44,1358,peak1358,1.413416935,25.90698863,-1.547109885,0.503280269,-3.074052332,0.002111724,0.027576525,1.559460462,Sig,Down,Cxcr4,Promoter
45,1375,peak1375,2.141410957,138.4876218,-1.216363863,0.201556695,-6.034847218,1.59E-09,3.32E-07,6.478636013,Sig,Down,Thsd7b,Promoter
46,1389,peak1389,1.173641128,14.91561374,-1.991779409,0.636308957,-3.130208036,0.001746825,0.024377188,1.613016385,Sig,Down,Rassf5,Promoter
47,1428,peak1428,1.192296578,15.57028556,-1.667532836,0.588203052,-2.834961211,0.004583125,0.045768185,1.339436305,Sig,Down,Plekha6,Promoter
49,1562,peak1562,1.275756829,18.86934518,-3.17758568,0.762453609,-4.16757904,3.08E-05,0.001308437,2.883247108,Sig,Down,Nek7,Promoter
50,1608,peak1608,1.636299241,43.28119483,-1.15692031,0.342665915,-3.376233987,0.000734854,0.01324355,1.877995593,Sig,Down,Hmcn1,Promoter
54,1861,peak1861,1.942041856,87.50681078,-1.014146876,0.277917407,-3.649094487,0.000263166,0.006407469,2.193313473,Sig,Down,Rxrg,Promoter
55,2001,peak2001,2.311698038,204.9736514,-1.539722616,0.204064748,-7.545265095,4.51E-14,2.42E-11,10.61605267,Sig,Down,Itpkb,Promoter
57,2032,peak2032,1.4844598,30.51123593,-1.40844993,0.429743261,-3.277421798,0.001047597,0.016919297,1.771617683,Sig,Down,Tmem63a,Promoter
58,2042,peak2042,1.440759901,27.59052098,-1.917056946,0.540089304,-3.549518446,0.000385936,0.008442291,2.073539659,Sig,Down,Cnih3,Promoter
59,2043,peak2043,2.348218245,222.9555281,-1.723710271,0.19140096,-9.005755616,2.14E-19,3.92E-16,15.40681424,Sig,Down,Cnih3,Promoter
60,2069,peak2069,1.370820255,23.48660563,-1.939099494,0.510436742,-3.798902658,0.000145338,0.004229082,2.37375389,Sig,Down,Capn8,Promoter
61,2164,peak2164,1.330846522,21.42133447,-5.807061348,2.051194036,-2.831063881,0.004639345,0.046130673,1.33601021,Sig,Down,Tgfb2,Promoter
62,2165,peak2165,1.896764633,78.84327096,-3.115365555,0.33999565,-9.162957091,5.05E-20,9.82E-17,16.00803354,Sig,Down,Tgfb2,Promoter
63,2193,peak2193,1.947921078,88.6994809,-1.280159308,0.243792521,-5.251019612,1.51E-07,1.59E-05,4.798724676,Sig,Down,Ptpn14,Promoter
64,2327,peak2327,1.177757435,15.05765822,-1.745254148,0.60279269,-2.895280875,0.003788194,0.040052877,1.397366281,Sig,Down,Sash1,Promoter
65,2328,peak2328,1.776791907,59.81249331,-2.174946545,0.354708205,-6.131649939,8.70E-10,1.96E-07,6.707653907,Sig,Down,Sash1,Promoter
66,2366,peak2366,2.298697407,198.9286826,-1.227636892,0.188939197,-6.4975236,8.17E-11,2.23E-08,7.652089139,Sig,Down,Phactr2,Promoter
67,2371,peak2371,1.975834244,94.58760829,-1.037256257,0.253691056,-4.088659144,4.34E-05,0.00171053,2.766869372,Sig,Down,Adgrg6,Promoter
68,2383,peak2383,1.174328232,14.93923064,-2.540859993,0.685507565,-3.706538223,0.000210112,0.00546923,2.262073835,Sig,Down,Nhsl1,Promoter
69,2384,peak2384,1.545621437,35.12541279,-1.508963547,0.417846304,-3.611288489,0.00030468,0.007120482,2.147490636,Sig,Down,Nhsl1,Promoter
70,2415,peak2415,1.4716975,29.62767009,-1.655232601,0.453474828,-3.650109114,0.000262129,0.006405241,2.193464515,Sig,Down,Slc35d3,Promoter
71,2416,peak2416,2.60535769,403.0488535,-1.122093628,0.186986337,-6.000939133,1.96E-09,3.94E-07,6.404833849,Sig,Down,Slc35d3,Promoter
72,2495,peak2495,2.356719094,227.3626349,-1.572802294,0.225441756,-6.976534964,3.03E-12,1.19E-09,8.923987101,Sig,Down,Enpp1,Promoter
73,2517,peak2517,1.341997464,21.97847037,-2.047773805,0.518392915,-3.950234942,7.81E-05,0.002662923,2.574641363,Sig,Down,Gm36908,Promoter
74,2518,peak2518,1.494052082,31.19263635,-1.888407194,0.436671532,-4.324548439,1.53E-05,0.000773071,3.111780797,Sig,Down,Gm36908,Promoter
75,2575,peak2575,1.31936598,20.86248222,-2.043294527,0.551053347,-3.707979527,0.00020892,0.005442757,2.264181094,Sig,Down,Dse,Promoter
77,2671,peak2671,1.960973301,91.40570456,-1.188702418,0.274149864,-4.33595845,1.45E-05,0.000746165,3.12716491,Sig,Down,Prdm1,Promoter
78,2677,peak2677,1.468863207,29.43494353,-1.25729759,0.417919291,-3.008469855,0.002625668,0.031656606,1.499535645,Sig,Down,Prdm1,Promoter
79,2682,peak2682,1.600985013,39.90111323,-1.013173263,0.360868147,-2.807599593,0.004991224,0.048411919,1.315047699,Sig,Down,Gm15934,Promoter
80,2727,peak2727,1.875070823,75.00165092,-1.320744292,0.308227498,-4.284965816,1.83E-05,0.00089249,3.049396796,Sig,Down,Slc35f1,Promoter
82,2744,peak2744,1.687673579,48.71621954,-1.578857581,0.437708435,-3.607098822,0.00030964,0.007205997,2.142305948,Sig,Down,Man1a,Promoter
83,2752,peak2752,1.072996133,11.83031022,-3.053451844,0.83456141,-3.658750341,0.000253448,0.006253224,2.203896038,Sig,Down,Gja1,Promoter
84,2753,peak2753,1.817791288,65.73418576,-2.730666404,0.399717636,-6.831488419,8.40E-12,2.94E-09,8.532069733,Sig,Down,Gja1,Promoter
89,2833,peak2833,1.737447473,54.63204699,-1.306772671,0.321599507,-4.063354082,4.84E-05,0.001859922,2.730505227,Sig,Down,Adamts14,Promoter
90,2877,peak2877,1.709962507,51.28171098,-1.072232529,0.339338926,-3.159768736,0.001578944,0.02276501,1.642732157,Sig,Down,Tet1,Promoter
91,2888,peak2888,1.514664933,32.70882424,-1.498252835,0.465799181,-3.216520971,0.00129755,0.019842868,1.702395562,Sig,Down,Egr2,Promoter
92,2918,peak2918,1.636518619,43.30306324,-1.159922443,0.34244831,-3.387146054,0.000706238,0.012912264,1.888997604,Sig,Down,Bicc1,Promoter
94,2964,peak2964,1.965573782,92.37911175,-1.273066441,0.268156073,-4.747483167,2.06E-06,0.00015004,3.823793391,Sig,Down,Col18a1,Promoter
109,3167,peak3167,1.542589628,34.8810563,-1.448281855,0.391256498,-3.701617388,0.00021423,0.005548562,2.255819561,Sig,Down,Btbd11,Promoter
110,3223,peak3223,1.740354545,54.99896859,-1.387479011,0.377271781,-3.677664429,0.000235379,0.005944751,2.225866354,Sig,Down,Ascl1,Promoter
111,3250,peak3250,1.211513706,16.27472676,-1.824871377,0.62354238,-2.926619642,0.003426677,0.037544983,1.425448085,Sig,Down,Ano4,Promoter
112,3255,peak3255,1.627470128,42.41018116,-1.307621781,0.400012058,-3.268955906,0.001079451,0.017316869,1.76153062,Sig,Down,Ano4,Promoter
