




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Mus musculus - REFLIST (21997)	upload_1 (431)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
activin receptor signaling pathway (GO:0032924)	10	3	.20	+	15.31	1.75E-03	3.62E-02
negative regulation of BMP signaling pathway (GO:0030514)	17	4	.33	+	12.01	6.21E-04	1.97E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	19	4	.37	+	10.74	8.91E-04	2.54E-02
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	24	5	.47	+	10.63	2.08E-04	8.09E-03
positive regulation of Wnt signaling pathway (GO:0030177)	20	4	.39	+	10.21	1.05E-03	2.69E-02
non-canonical Wnt signaling pathway (GO:0035567)	20	4	.39	+	10.21	1.05E-03	2.66E-02
regulation of BMP signaling pathway (GO:0030510)	24	4	.47	+	8.51	1.91E-03	3.82E-02
BMP signaling pathway (GO:0030509)	65	10	1.27	+	7.85	1.68E-06	1.17E-04
cellular response to BMP stimulus (GO:0071773)	66	10	1.29	+	7.73	1.91E-06	1.28E-04
response to BMP (GO:0071772)	66	10	1.29	+	7.73	1.91E-06	1.24E-04
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	95	14	1.86	+	7.52	2.31E-08	3.02E-06
extracellular matrix organization (GO:0030198)	77	11	1.51	+	7.29	9.85E-07	8.75E-05
external encapsulating structure organization (GO:0045229)	77	11	1.51	+	7.29	9.85E-07	8.41E-05
extracellular structure organization (GO:0043062)	79	11	1.55	+	7.11	1.24E-06	9.81E-05
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	125	16	2.45	+	6.53	1.41E-08	1.95E-06
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	64	8	1.25	+	6.38	7.12E-05	3.16E-03
response to growth factor (GO:0070848)	139	17	2.72	+	6.24	9.22E-09	1.46E-06
cellular response to growth factor stimulus (GO:0071363)	139	17	2.72	+	6.24	9.22E-09	1.36E-06
canonical Wnt signaling pathway (GO:0060070)	99	12	1.94	+	6.19	1.54E-06	1.11E-04
regulation of cellular response to growth factor stimulus (GO:0090287)	42	5	.82	+	6.08	2.02E-03	3.97E-02
Wnt signaling pathway (GO:0016055)	112	13	2.19	+	5.92	8.87E-07	8.57E-05
cell-cell signaling by wnt (GO:0198738)	113	13	2.21	+	5.87	9.73E-07	9.00E-05
regulation of canonical Wnt signaling pathway (GO:0060828)	54	6	1.06	+	5.67	1.01E-03	2.71E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	63	6	1.23	+	4.86	2.10E-03	4.09E-02
regulation of Wnt signaling pathway (GO:0030111)	65	6	1.27	+	4.71	2.43E-03	4.57E-02
