"","X.1","X","res.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"110",110,522,"peak522","2.262480146",183.0122438,-1.581556295,0.276524354,-5.719410502,1.07e-08,4.36e-08,7.360235651,"Sig","Unchanged","4931408C20Rik","Promoter"
"1409",1409,6009,"peak6009","2.746912319",558.3574544,-0.478808642,0.519512381,-0.921650107,0.356711113,0.427258675,0.369309111,"Not Sig","Unchanged","9230019H11Rik","Promoter"
"2308",2308,9331,"peak9331","1.133660653",13.60381298,0.912338467,1.818491136,0.501700805,0.615877998,0.67669118,0.169609484,"Not Sig","Unchanged","Cfap54","Promoter"
"2309",2309,9333,"peak9333","1.129450297",13.4725653,-0.905316509,0.593261521,-1.525999037,0.127010104,0.175161932,0.756560273,"Not Sig","Unchanged","Cfap54","Promoter"
"2310",2310,9334,"peak9334","1.923070155",83.76645849,-1.625907786,0.260899035,-6.231942497,4.61e-10,2.12e-09,8.674357192,"Sig","Unchanged","Cfap54","Promoter"
"2623",2623,10626,"peak10626","2.713337503",516.8178472,-0.443714813,0.417138801,-1.063710236,0.287459986,0.355310273,0.449392236,"Not Sig","Unchanged","Sfi1","Promoter"
"2624",2624,10627,"peak10627","2.343206629",220.3974822,-0.986861527,0.262424982,-3.760547184,0.000169542,0.000426736,3.369840585,"Sig","Unchanged","Sfi1","Promoter"
"2625",2625,10628,"peak10628","3.267965145",1853.382872,-0.634024992,0.339647573,-1.866714332,0.061941491,0.093020797,1.031419945,"Not Sig","Unchanged","Sfi1","Promoter"
"2626",2626,10635,"peak10635","2.385237033",242.7934872,-0.959637483,0.455429688,-2.107103485,0.03510861,0.056229792,1.250033526,"Not Sig","Unchanged","Sfi1","Promoter"
"2627",2627,10636,"peak10636","2.158627212",144.0878005,-0.496748154,0.288316449,-1.722926857,0.084901753,0.123079845,0.909813061,"Not Sig","Unchanged","Sfi1","Promoter"
"2628",2628,10637,"peak10637","2.473583898",297.5664051,-0.60887808,0.433367645,-1.404992013,0.160023653,0.214295042,0.668987877,"Not Sig","Unchanged","Sfi1","Promoter"
"2629",2629,10638,"peak10638","1.806782817",64.08889991,-0.823062565,0.36411656,-2.260437054,0.023794139,0.039758431,1.400570764,"Sig","Unchanged","Sfi1","Promoter"
"2630",2630,10639,"peak10639","2.065033401",116.1537942,-1.02977262,0.614568506,-1.675602655,0.093816048,0.13434529,0.871777556,"Not Sig","Unchanged","Sfi1","Promoter"
"2631",2631,10640,"peak10640","2.548075923",353.2449182,-0.446471923,0.233958467,-1.908338385,0.056347495,0.085549746,1.067781275,"Not Sig","Unchanged","Sfi1","Promoter"
"2632",2632,10641,"peak10641","1.399551032",25.09291019,-0.673467261,0.530256736,-1.270077709,0.204056951,0.264507767,0.577561571,"Not Sig","Unchanged","Sfi1","Promoter"
"2633",2633,10642,"peak10642","1.803465737",63.60126257,-0.63514211,0.352509482,-1.801773125,0.071581108,0.1058322,0.975382175,"Not Sig","Unchanged","Sfi1","Promoter"
"2634",2634,10643,"peak10643","2.117380956",131.0330821,-0.802242134,0.290935951,-2.757452738,0.005825363,0.011161353,1.952283142,"Sig","Unchanged","Sfi1","Promoter"
"2635",2635,10644,"peak10644","2.371965737",235.4863493,-0.710561869,0.255619778,-2.779760921,0.005439893,0.01048607,1.979387253,"Sig","Unchanged","Sfi1","Promoter"
"6426",6426,25648,"peak25648","1.391985855",24.65959021,-0.659962287,0.486709202,-1.355968378,0.17510923,0.231662761,0.635143772,"Not Sig","Unchanged","4930503E14Rik","Promoter"
"10483",10483,41670,"peak41670","1.667033344",46.45509412,-0.939299357,0.455703739,-2.061206166,0.039283376,0.062160034,1.206488756,"Not Sig","Unchanged","1700030N03Rik","Promoter"
"10484",10484,41671,"peak41671","1.663003078",46.0259836,-1.251450247,0.43476328,-2.878463535,0.003996175,0.007921751,2.101178826,"Sig","Unchanged","1700030N03Rik","Promoter"
"10837",10837,42430,"peak42430","1.840383723",69.24425123,0.080830588,0.294537813,0.274431955,0.783752689,0.824594725,0.083759448,"Not Sig","Unchanged","1110059E24Rik","Promoter"
"10838",10838,42433,"peak42433","1.244051102",17.54086886,0.166448763,0.6311155,0.263737404,0.791982272,0.831664687,0.080051738,"Not Sig","Unchanged","1110059E24Rik","Promoter"
"10839",10839,42434,"peak42434","1.600239848",39.83270945,0.280339162,0.35708007,0.785087677,0.432402165,0.503323427,0.298152855,"Not Sig","Unchanged","1110059E24Rik","Promoter"
"10987",10987,43034,"peak43034","1.65456861",45.14073327,-0.365656195,0.412867098,-0.88565109,0.375805572,0.446818958,0.349868409,"Not Sig","Unchanged","Cyp2c53-ps","Promoter"
"10988",10988,43035,"peak43035","1.973379439",94.05446963,-0.495483011,0.3254191,-1.522599659,0.127858895,0.17614532,0.754128892,"Not Sig","Unchanged","Cyp2c53-ps","Promoter"
"10989",10989,43039,"peak43039","1.828316021",67.34665361,-0.593460484,0.37747679,-1.572177416,0.115909411,0.161645311,0.791436888,"Not Sig","Unchanged","Cyp2c29","Promoter"
"10990",10990,43040,"peak43040","1.513570943",32.62653422,-0.481470951,0.438716995,-1.097452244,0.272443746,0.339307035,0.469407136,"Not Sig","Unchanged","Cyp2c29","Promoter"
