"","X.1","X","res.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"139",139,664,"peak664","3.098168948",1253.628762,0.977434985,0.156045105,6.263797802,3.76e-10,1.74e-09,8.759281907,"Sig","Unchanged","Amer3","Promoter"
"140",140,665,"peak665","3.106477608",1277.843323,1.903456012,0.326355973,5.832453414,5.46e-09,2.29e-08,7.640053593,"Sig","Unchanged","Amer3","Promoter"
"891",891,3718,"peak3718","2.913215977",818.8719162,2.874364444,0.162568896,17.68090029,5.88e-70,3.77e-68,67.42405216,"Sig","Up","Syt2","Promoter"
"892",892,3728,"peak3728","3.136792645",1370.227391,2.2956872,0.159938537,14.35355883,1.01e-46,2.83e-45,44.54750289,"Sig","Up","Syt2","Promoter"
"1043",1043,4369,"peak4369","1.760879697",57.66067165,0.417747953,0.313418633,1.332875296,0.182572731,0.2401917,0.619442005,"Not Sig","Unchanged","Sec16b","Promoter"
"1122",1122,4667,"peak4667","3.102118282",1265.08085,0.346687957,0.167108946,2.074622371,0.038021547,0.060381054,1.219099308,"Not Sig","Unchanged","Fam78b","Promoter"
"1240",1240,5175,"peak5175","3.053142882",1130.167676,1.429678775,0.163570974,8.740418549,2.32e-18,1.86e-17,16.73127733,"Sig","Unchanged","Kif26b","Promoter"
"1241",1241,5206,"peak5206","2.98577679",967.7803287,3.132735318,0.130920358,23.92855751,1.55e-126,5.62e-124,123.2499092,"Sig","Up","Kif26b","Promoter"
"1263",1263,5331,"peak5331","2.917764574",827.4934681,0.912757875,0.135644454,6.729046793,1.71e-11,8.78e-11,10.05633972,"Sig","Unchanged","Itpkb","Promoter"
"1401",1401,5976,"peak5976","3.107062903",1279.566621,-0.039027301,0.143331942,-0.272286139,0.785402014,0.825965507,0.083038089,"Not Sig","Unchanged","Plxna2","Promoter"
"1402",1402,5979,"peak5979","2.074785935",118.7916555,0.672368114,0.23858474,2.818152214,0.004830091,0.009408836,2.026464094,"Sig","Unchanged","Plxna2","Promoter"
"1462",1462,6362,"peak6362","1.808337574",64.31874686,1.754066726,0.309305397,5.670986479,1.42e-08,5.72e-08,7.242360581,"Sig","Unchanged","Grm1","Promoter"
"1463",1463,6365,"peak6365","1.591242109",39.01594305,0.07327941,0.396940323,0.184610646,0.853534435,0.882908175,0.054084462,"Not Sig","Unchanged","Grm1","Promoter"
