Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)						
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22						
Analyzed List:	upload_1 (Mus musculus)						
Reference List:	Mus musculus (all genes in database)						
Test Type:	FISHER						
Correction:	FDR						
PANTHER GO-Slim Biological Process	Mus musculus - REFLIST (21997)	upload_1 (705)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cognition (GO:0050890)	7	3	0.22	+	13.37	3.04E-03	3.17E-02
positive regulation of axonogenesis (GO:0050772)	18	5	0.58	+	8.67	6.02E-04	8.85E-03
embryonic organ development (GO:0048568)	27	7	0.87	+	8.09	7.00E-05	1.39E-03
anterior/posterior pattern specification (GO:0009952)	36	9	1.15	+	7.8	8.31E-06	2.12E-04
embryonic morphogenesis (GO:0048598)	36	9	1.15	+	7.8	8.31E-06	2.10E-04
cell fate specification (GO:0001708)	25	6	0.8	+	7.49	3.33E-04	5.20E-03
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	17	4	0.54	+	7.34	3.62E-03	3.62E-02
regulation of ERBB signaling pathway (GO:1901184)	19	4	0.61	+	6.57	5.10E-03	4.70E-02
positive regulation of neurogenesis (GO:0050769)	24	5	0.77	+	6.5	1.82E-03	2.09E-02
positive regulation of cell development (GO:0010720)	29	6	0.93	+	6.46	6.60E-04	9.65E-03
pattern specification process (GO:0007389)	59	12	1.89	+	6.35	1.75E-06	5.12E-05
regulation of neurogenesis (GO:0050767)	59	12	1.89	+	6.35	1.75E-06	5.05E-05
calcium ion transmembrane import into cytosol (GO:0097553)	25	5	0.8	+	6.24	2.13E-03	2.39E-02
calcium ion transport into cytosol (GO:0060402)	26	5	0.83	+	6	2.48E-03	2.68E-02
regulation of nervous system development (GO:0051960)	75	14	2.4	+	5.82	6.05E-07	1.95E-05
embryo development (GO:0009790)	70	13	2.24	+	5.79	1.60E-06	4.80E-05
regulation of cell development (GO:0060284)	70	13	2.24	+	5.79	1.60E-06	4.74E-05
calcium-mediated signaling (GO:0019722)	27	5	0.87	+	5.78	2.86E-03	3.02E-02
animal organ morphogenesis (GO:0009887)	82	15	2.63	+	5.71	3.03E-07	1.02E-05
cell fate commitment (GO:0045165)	57	10	1.83	+	5.47	3.93E-05	8.55E-04
