"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"392","AW011738",85.7906108464708,0.998736565395319,0.251523427401623,3.9707496661954,7.16468307902043e-05,0.000460831516897559
"425","Abca1",2289.80378458263,0.0480678988414233,0.226511203180201,0.212209807579287,0.831943355644994,0.900489912225283
"446","Abcb9",1530.08090380585,0.394026016135435,0.143318282701778,2.74930740661566,0.00597213475481743,0.0216362965460465
"452","Abcc4",401.262988855339,0.331347627896323,0.159650621331371,2.0754546717897,0.0379444157167195,0.0984023981476109
"498","Ablim2",2420.87587481587,0.145672848744907,0.144313255606284,1.00942112443456,0.312772711672676,0.483692238748847
"530","Acbd4",942.15217535055,0.973537615864968,0.191250278366845,5.09038535357101,3.57336570172925e-07,3.79003131441329e-06
"561","Acot6",240.882379529005,0.412388073606267,0.152039148497797,2.71238084191351,0.00668017939728725,0.0236814169970605
"593","Acta1",67.1439292684237,-0.117422454837313,0.290911715678459,-0.403636046638624,0.686480374454198,0.80334997389947
"621","Acvr1c",322.08931001469,0.425825482253812,0.183021425751066,2.32664279882177,0.0199842846375795,0.0585853389911389
"659","Adamts18",2275.46655564497,-2.39394493901732,0.139629546303829,-17.144973985722,6.85295367029401e-66,3.21266468063383e-63
"674","Adamtsl5",69.5135257974901,1.49502738221563,0.281945849481208,5.30253374882638,1.14206344526526e-07,1.31871759394176e-06
"679","Adarb1",9320.10090193522,0.639094829896308,0.130263924971079,4.90615364183292,9.28797790878107e-07,9.02826667815639e-06
"694","Adcy8",1109.94286110398,0.657082635680334,0.130066633741748,5.05189237837118,4.37454176094262e-07,4.5486363253198e-06
"703","Adgra2",837.81538124332,0.0555180604106408,0.151368797763287,0.366773477962484,0.713787992525608,0.82246020936518
"705","Adgrb1",5484.08884243537,0.531070465000986,0.156419228807376,3.3951737842601,0.000685850516043662,0.00341219989910382
"733","Adm",43.9671931241227,-0.301462975537676,0.369541805063268,-0.815775025740492,0.414628819537436,0.583085357651654
"764","Afap1l1",789.376200050565,0.237107806683024,0.15372868126822,1.54237846006971,0.122981652746967,0.245006751698549
"765","Afap1l2",3088.91641261199,-0.366368356175907,0.121782457584326,-3.00838366578554,0.00262641334899049,0.0108440337771102
"780","Agap3",7694.63034394518,-0.0786696815742336,0.131586732263192,-0.597854207800247,0.549937216888607,0.699594499512192
"781","Agbl2",232.519436445972,1.20371458810105,0.174120286273042,6.91312088824321,4.74105586642997e-12,9.6875771676691e-11
"804","Agrn",5432.49259962271,-0.390725471731912,0.121447657502145,-3.21723349604343,0.00129433213367575,0.00591735905526658
"816","Ahdc1",2996.97982440311,-0.195783536227076,0.154967020918783,-1.2633883975203,0.206449631774367,0.360522105157552
