"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"369","AI854703",728.020335415281,0.494891801527421,0.1455890471951,3.39923786206409,0.000675739208737249,0.0020281955943945
"422","Aatf",996.191911020832,0.0282838952165881,0.130220404466867,0.217200179437199,0.828052344851265,0.881610024737173
"428","Abca17",7.80911614890728,-0.592752550343253,0.648641644738794,-0.913836715775398,0.360802650732759,0.47933660787103
"432","Abca5",1581.78371120744,0.607542612005078,0.183363325426231,3.31332675491589,0.000921932029864283,0.00268327020456663
"455","Abcc8",2145.04278993751,0.511548732354574,0.159237623820582,3.21248659758294,0.00131591288078824,0.00370760211041337
"465","Abcg1",2874.2349835106,1.56030021821377,0.127888749185127,12.200449438716,3.09113055500817e-34,1.07905109558261e-32
"486","Abhd3",2261.6314380161,1.89821187646268,0.115148339192653,16.4849262244834,4.70869144302094e-61,5.70052219378493e-59
"493","Abi3",802.698725290375,1.97400646396659,0.210222372883938,9.3900874435302,5.99504649112669e-21,9.59994780520943e-20
"497","Ablim1",9459.78862602784,1.47573880422634,0.100804008681564,14.6396837142473,1.5679591696044e-48,1.05790762945245e-46
"540","Acer3",660.327987278174,0.387848487893009,0.184411209880394,2.10317197172862,0.0354507394124215,0.0697492072118529
"541","Ache",1694.20381203178,0.595926734635855,0.169017251202028,3.52583378559113,0.000422151827929949,0.00132563129189923
"605","Actn1",1280.71542770188,-0.579846546684593,0.106888039190255,-5.42480291599789,5.80185200915538e-08,3.24607059312626e-07
"661","Adamts2",711.63268781086,1.01671003548769,0.197528518076649,5.14715568864423,2.64465822551877e-07,1.37342001550366e-06
"674","Adamtsl5",69.5135257974901,0.813114945800106,0.318228881836085,2.55512617556482,0.0106149311984486,0.0241256155934223
"675","Adap1",3903.67730814771,1.12234250965587,0.151432023056407,7.41152688185254,1.24853483098374e-13,1.2398190555493e-12
"686","Adcy1",47723.9423616674,2.07482568886315,0.176928250907099,11.7269326872654,9.2759443766743e-32,2.81744431512154e-30
"736","Adora1",6854.10873428163,1.38097238613764,0.144383621873008,9.56460551566068,1.12630179433447e-21,1.88121053124163e-20
"750","Adra2c",828.707905900935,-1.06555775176602,0.194283308772747,-5.48455633423665,4.14508382559917e-08,2.36170163227563e-07
"779","Agap2",7313.51141005244,0.340628541705975,0.128642879901298,2.64786159923755,0.00810026797148634,0.0189698963195599
"829","Aifm3",4207.65830426398,2.01825975353118,0.119726823798164,16.857206175732,9.28766986889475e-64,1.28894735497588e-61
"902","Aldh1l2",635.449672886783,-0.638053382737423,0.16417055196618,-3.88652760861075,0.00010168836609749,0.000358418420252768
"951","Alox8",114.241046544109,0.923598505113356,0.240546829915444,3.83957878571093,0.000123245575614094,0.000428647509317969
"973","Amer3",2387.88270103129,0.963392155769628,0.156730944271546,6.14678971180376,7.90668407509905e-10,5.4532160469471e-09
"1019","Ank1",10955.6303172837,2.18216791379521,0.165823419849381,13.1595881678071,1.4990069225091e-39,6.8785075718361e-38
"1020","Ank2",20727.4088882082,0.836768404037879,0.168802221010865,4.95709356800477,7.15555212266189e-07,3.5117145964563e-06
"1076","Anks1b",7340.5587528204,1.31289501767388,0.120143118108963,10.9277588124786,8.49198746917908e-28,2.07379436479094e-26
"1101","Anxa11",136.194589007079,0.214167438275438,0.299644916552499,0.714737432356592,0.474771303077893,0.592812972243409
"1124","Ap1m2",22.5017773316956,-0.625613649982384,0.392258266347931,-1.59490239888907,0.110734063115163,0.184646913878659
"1171","Apln",770.556607754074,1.00877396363285,0.166210456536586,6.06925692073292,1.28503430153843e-09,8.68046518688603e-09
"1245","Arg1",78.7665295868179,-0.785801368792906,0.309195023833622,-2.5414424819972,0.0110396108611849,0.0249663695549054
"1261","Arhgap24",192.264072093117,-0.297934318224642,0.193205510927868,-1.54205910997991,0.123059230230464,0.201866332888143
"1263","Arhgap26",5161.73584962464,1.37848745197564,0.126292691640365,10.9150215588173,9.77061165146398e-28,2.37584531183034e-26
"1285","Arhgap9",45.884233550581,-0.417595834329068,0.348462392713729,-1.19839570369975,0.230763004247457,0.336447256790579
"1294","Arhgef15",790.010698462631,0.311608991333915,0.133821711886229,2.32853837349529,0.0198835340865887,0.042001228419511
"1308","Arhgef4",2726.11957202453,-0.00744043014358687,0.121269761625909,-0.0613543726303262,0.951076989227321,0.968211070187543
"1374","Arntl",1739.25927541117,0.691076268194303,0.133053135741758,5.19398708148907,2.05837430255995e-07,1.08345511392841e-06
"1445","Asic2",2470.26936798628,1.35412874620058,0.138001091509399,9.81244953492528,9.95228103312728e-23,1.80154228245475e-21
"1446","Asic3",14.751170101843,-0.425827261309288,0.519457652361657,-0.819753562919541,0.412356608421882,0.532687097454331
"1516","Atoh7",333.173217756995,2.88864484327482,0.288372727650114,10.0170528149931,1.28270897189079e-23,2.48252178573421e-22
"1517","Atoh8",213.329039125825,0.624097007549509,0.244254862132042,2.55510576985824,0.0106155535279552,0.0241256155934223
"1522","Atp11a",2671.10922997121,0.268510635663984,0.117358884133718,2.28794468902793,0.022140742374616,0.0461769609502168
"1533","Atp1a3",73915.7021234134,1.24559049031567,0.16274076764906,7.65383197037458,1.95077143159728e-14,2.0479500822488e-13
"1535","Atp1b1",42433.2860846861,1.58287593284542,0.105819768824032,14.9582252015461,1.37648196511065e-50,1.04895299751959e-48
"1545","Atp2b3",6425.59117995703,2.25085253792439,0.168365887105818,13.3688158368431,9.19937188366659e-41,4.4359683066155e-39
"1546","Atp2b4",2240.64457571472,1.21893274483319,0.17731491496892,6.87439488689853,6.22535408682631e-12,5.3400399126696e-11
"1614","Atxn1",1271.78787400934,1.02754143528771,0.166096761796376,6.18640257747719,6.15526948928746e-10,4.29209355319187e-09
"1653","B3galt5",1598.52627599571,1.13378581862796,0.168625998930961,6.72367147305772,1.77201724311919e-11,1.45775105253227e-10
"1668","B4galnt1",2177.26989741878,0.328242596465012,0.149808577736672,2.19108011987127,0.0284459950816472,0.0574952225265358
"1784","Barhl2",2018.49579787334,0.378789498518473,0.156177810438037,2.42537334501022,0.0152926508279365,0.0333093721619084
"1795","Bbc3",388.103720242587,-0.604239917012864,0.184413710184648,-3.2765455258606,0.00105085369638072,0.00302242166760218
"1831","Bcl2",712.711092789973,-0.117226932961927,0.167412516474501,-0.700228008219336,0.483784922883485,0.601046663431223
"1843","Bcl6b",212.75295963502,-0.914227289458341,0.156309212159039,-5.8488381895761,4.95018339584812e-09,3.16359530389845e-08
"1857","Bdh1",5017.16516670464,0.0893246535875943,0.101494732570667,0.880091521256053,0.378809731928142,0.498287903522647
"1861","Bdnf",288.274614963986,1.95909643783771,0.256977716102113,7.62360436365323,2.46688678714471e-14,2.57394605480197e-13
"1869","Bend6",6030.49804808177,1.31782352159945,0.100766689658763,13.0779677893769,4.4004809301888e-39,1.97155405454916e-37
"1886","Bhlha9",169.386629681023,0.736394372990296,0.240571433171838,3.06102168192304,0.00220583120391387,0.00589718694609392
"1889","Bhlhe40",1753.35821702278,1.37693283485151,0.162821723834619,8.4566899454405,2.75074035708805e-17,3.48590481777973e-16
"1890","Bhlhe41",1088.66349978572,0.786142642073385,0.146197499139551,5.37726463653788,7.56259768514948e-08,4.1859125319553e-07
"1928","Bmi1",2038.60736786718,-0.329810264556806,0.206001906523818,-1.60100588447066,0.109375615818408,0.182846123006584
"2002","Brinp3",978.526739162754,0.963748693059694,0.140773447328667,6.84609712518872,7.58919637173337e-12,6.44515333659147e-11
"2070","C1ql2",25.3158759896584,-0.0337819303164784,0.383153208605133,-0.0881682041485737,0.929742988287114,0.953367742539859
"2153","Cabp1",1593.68582052115,1.1540513797802,0.1496411995156,7.71212328901367,1.23741502904331e-14,1.31851901034765e-13
"2158","Cacna1a",12636.5034745512,1.26653191864907,0.163554778568313,7.74377813803876,9.65053444909485e-15,1.0347652201385e-13
"2160","Cacna1c",2563.83401461927,0.181178300175497,0.153479015642199,1.18047603717939,0.237810935607004,0.344561352667512
