




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21997)	upload_1 (140)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of homotypic cell-cell adhesion (GO:0034111)	19	3	.12	+	24.81	3.49E-04	3.67E-02
dendritic spine development (GO:0060996)	38	4	.24	+	16.54	1.42E-04	1.70E-02
regulation of neurotransmitter receptor activity (GO:0099601)	69	5	.44	+	11.39	1.07E-04	1.37E-02
regulation of neuronal synaptic plasticity (GO:0048168)	73	5	.46	+	10.76	1.37E-04	1.65E-02
transmission of nerve impulse (GO:0019226)	78	5	.50	+	10.07	1.84E-04	2.10E-02
activation of protein kinase activity (GO:0032147)	95	6	.60	+	9.92	4.45E-05	6.55E-03
dendrite morphogenesis (GO:0048813)	80	5	.51	+	9.82	2.06E-04	2.32E-02
action potential (GO:0001508)	96	5	.61	+	8.18	4.58E-04	4.38E-02
regulation of synapse assembly (GO:0051963)	122	6	.78	+	7.73	1.66E-04	1.93E-02
dendrite development (GO:0016358)	145	7	.92	+	7.59	5.25E-05	7.52E-03
multicellular organismal signaling (GO:0035637)	129	6	.82	+	7.31	2.21E-04	2.46E-02
regulation of synaptic plasticity (GO:0048167)	235	10	1.50	+	6.69	3.74E-06	1.02E-03
potassium ion transmembrane transport (GO:0071805)	146	6	.93	+	6.46	4.18E-04	4.15E-02
regulation of signaling receptor activity (GO:0010469)	146	6	.93	+	6.46	4.18E-04	4.12E-02
regulation of cation channel activity (GO:2001257)	195	8	1.24	+	6.45	4.62E-05	6.69E-03
regulation of fat cell differentiation (GO:0045598)	148	6	.94	+	6.37	4.48E-04	4.34E-02
regulation of synapse organization (GO:0050807)	263	10	1.67	+	5.97	9.69E-06	2.06E-03
axon guidance (GO:0007411)	242	9	1.54	+	5.84	3.23E-05	5.26E-03
neuron projection guidance (GO:0097485)	243	9	1.55	+	5.82	3.34E-05	5.31E-03
regulation of synapse structure or activity (GO:0050803)	271	10	1.72	+	5.80	1.25E-05	2.49E-03
positive regulation of neuron projection development (GO:0010976)	223	8	1.42	+	5.64	1.14E-04	1.43E-02
modulation of chemical synaptic transmission (GO:0050804)	526	18	3.35	+	5.38	1.07E-08	8.91E-06
regulation of trans-synaptic signaling (GO:0099177)	527	18	3.35	+	5.37	1.11E-08	8.71E-06
negative regulation of cell adhesion (GO:0007162)	313	10	1.99	+	5.02	4.09E-05	6.21E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	482	15	3.07	+	4.89	6.29E-07	2.31E-04
neuron projection morphogenesis (GO:0048812)	517	16	3.29	+	4.86	2.79E-07	1.26E-04
plasma membrane bounded cell projection morphogenesis (GO:0120039)	523	16	3.33	+	4.81	3.24E-07	1.42E-04
synaptic signaling (GO:0099536)	425	13	2.70	+	4.81	4.40E-06	1.15E-03
positive regulation of protein kinase activity (GO:0045860)	360	11	2.29	+	4.80	2.49E-05	4.46E-03
cell projection morphogenesis (GO:0048858)	529	16	3.37	+	4.75	3.75E-07	1.56E-04
protein localization to cell periphery (GO:1990778)	265	8	1.69	+	4.74	3.55E-04	3.70E-02
chemical synaptic transmission (GO:0007268)	366	11	2.33	+	4.72	2.88E-05	4.89E-03
anterograde trans-synaptic signaling (GO:0098916)	366	11	2.33	+	4.72	2.88E-05	4.84E-03
cell part morphogenesis (GO:0032990)	556	16	3.54	+	4.52	7.12E-07	2.49E-04
axonogenesis (GO:0007409)	384	11	2.44	+	4.50	4.40E-05	6.55E-03
synapse organization (GO:0050808)	315	9	2.00	+	4.49	2.26E-04	2.49E-02
trans-synaptic signaling (GO:0099537)	385	11	2.45	+	4.49	4.51E-05	6.58E-03
regulation of GTPase activity (GO:0043087)	351	10	2.23	+	4.48	1.03E-04	1.34E-02
inorganic cation transmembrane transport (GO:0098662)	460	13	2.93	+	4.44	1.00E-05	2.08E-03
learning or memory (GO:0007611)	319	9	2.03	+	4.43	2.47E-04	2.71E-02
regulation of protein catabolic process (GO:0042176)	355	10	2.26	+	4.43	1.13E-04	1.42E-02
neuron projection development (GO:0031175)	747	21	4.75	+	4.42	1.64E-08	1.17E-05
regulation of membrane potential (GO:0042391)	467	13	2.97	+	4.37	1.17E-05	2.37E-03
positive regulation of kinase activity (GO:0033674)	437	12	2.78	+	4.31	2.93E-05	4.87E-03
regulation of nervous system development (GO:0051960)	554	15	3.53	+	4.25	3.34E-06	9.41E-04
behavior (GO:0007610)	720	19	4.58	+	4.15	2.18E-07	1.07E-04
regulation of leukocyte differentiation (GO:1902105)	342	9	2.18	+	4.13	4.06E-04	4.07E-02
axon development (GO:0061564)	419	11	2.67	+	4.12	9.40E-05	1.23E-02
cellular component morphogenesis (GO:0032989)	653	17	4.16	+	4.09	1.20E-06	3.93E-04
cell morphogenesis involved in differentiation (GO:0000904)	615	16	3.91	+	4.09	2.55E-06	7.87E-04
cation transmembrane transport (GO:0098655)	504	13	3.21	+	4.05	2.55E-05	4.52E-03
cognition (GO:0050890)	356	9	2.27	+	3.97	5.38E-04	4.98E-02
negative regulation of cell differentiation (GO:0045596)	714	18	4.54	+	3.96	8.89E-07	2.98E-04
inorganic ion transmembrane transport (GO:0098660)	516	13	3.28	+	3.96	3.24E-05	5.21E-03
regulation of neuron death (GO:1901214)	397	10	2.53	+	3.96	2.72E-04	2.95E-02
regulation of protein kinase activity (GO:0045859)	598	15	3.81	+	3.94	8.18E-06	1.84E-03
positive regulation of transferase activity (GO:0051347)	526	13	3.35	+	3.88	3.93E-05	6.01E-03
locomotion (GO:0040011)	532	13	3.39	+	3.84	4.40E-05	6.60E-03
regulation of cation transmembrane transport (GO:1904062)	412	10	2.62	+	3.81	3.62E-04	3.75E-02
cell morphogenesis (GO:0000902)	785	19	5.00	+	3.80	7.81E-07	2.68E-04
regulation of neurogenesis (GO:0050767)	456	11	2.90	+	3.79	1.93E-04	2.19E-02
negative regulation of developmental process (GO:0051093)	999	24	6.36	+	3.77	2.62E-08	1.59E-05
