"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3","Car4",716.1636604,-1.342868852,0.139979725,-9.593309655,8.53e-22,4.3e-18
"4","Kndc1",3398.006066,-0.694927923,0.082209847,-8.453098388,2.84e-17,1.07e-13
"6","Mybpc1",728.8404598,-1.046306074,0.131164739,-7.977037767,1.5e-15,3.78e-12
"7","Grm4",6864.828799,-0.611539596,0.077331158,-7.908062054,2.61e-15,5.65e-12
"9","Sox11",767.2367521,1.133412728,0.152797043,7.417766093,1.19e-13,2e-10
"10","St8sia5",1785.031185,-0.663367336,0.09015659,-7.357946142,1.87e-13,2.83e-10
"11","Hnrnpa1",2809.742174,0.584871223,0.082020475,7.130795359,9.98e-13,1.37e-09
"14","Megf11",1795.456368,-0.640525749,0.094368444,-6.787499338,1.14e-11,1.23e-08
"15","Cd24a",424.1398953,1.219143472,0.183129415,6.657278239,2.79e-11,2.81e-08
"18","Prkcd",766.0415555,-0.76001168,0.118113775,-6.434572745,1.24e-10,1.04e-07
"20","Sowaha",376.0163789,-1.076266074,0.168899601,-6.372223915,1.86e-10,1.41e-07
"21","Basp1",1912.088416,0.718525404,0.113634229,6.323142333,2.56e-10,1.85e-07
"24","Sparc",8459.263821,-0.414727386,0.068541663,-6.050734217,1.44e-09,9.09e-07
"25","Ptprn",1102.403619,-0.703792014,0.117304199,-5.999717151,1.98e-09,1.2e-06
"26","Penk",518.4131822,-0.831261469,0.139228565,-5.970480754,2.37e-09,1.38e-06
"27","Ache",609.9816043,-0.80024318,0.1379098,-5.802656371,6.53e-09,3.64e-06
"30","Miat",1660.18027,1.194173126,0.207393045,5.758019152,8.51e-09,4.29e-06
"31","Actb",9351.339795,0.374277183,0.065299408,5.731708681,9.94e-09,4.73e-06
"34","Exph5",389.96528,-0.876369034,0.154979357,-5.654746877,1.56e-08,6.95e-06
"35","Sv2c",564.596722,-0.782147073,0.139157596,-5.620584838,1.9e-08,8.23e-06
"39","Rasgrf1",1307.432448,-0.619891818,0.112898639,-5.490693453,4e-08,1.55e-05
"43","Tmem59l",1556.359667,-0.504026079,0.092569471,-5.444841325,5.19e-08,1.82e-05
"44","H3f3a",4820.425611,0.476896411,0.088274787,5.402407939,6.58e-08,2.21e-05
"49","Abi3",256.0085689,-1.016073479,0.191354673,-5.309896342,1.1e-07,3.33e-05
"50","Inf2",381.711746,-0.862653843,0.162472483,-5.309538109,1.1e-07,3.33e-05
"56","Htr2c",72.33774056,1.986341726,0.382378946,5.194694289,2.05e-07,5.54e-05
"57","Pde1c",796.9188048,-0.641768105,0.124026121,-5.174459237,2.29e-07,6.07e-05
"60","Dnm1",9452.528574,-0.405534916,0.07905675,-5.129668429,2.9e-07,7.32e-05
"61","Etv1",4542.806285,-0.427147108,0.083340118,-5.125347991,2.97e-07,7.37e-05
"62","Kcnk9",3972.061947,0.438600398,0.086103746,5.093859683,3.51e-07,8.56e-05
"63","Atp1b1",9141.060236,-0.333510871,0.065633293,-5.081428237,3.75e-07,9e-05
"66","Kcnk12",391.6118957,-0.822549727,0.165377276,-4.973777206,6.57e-07,0.000150532
"67","Sorl1",6925.213553,-0.418324755,0.084203134,-4.968042565,6.76e-07,0.000152738
