"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7","Grm4",6864.828799,-0.611539596,0.077331158,-7.908062054,2.61e-15,5.65e-12
"36","Nptx1",5088.24444,-0.445805765,0.07994067,-5.57670786,2.45e-08,1.03e-05
"52","Chn2",4541.340721,-0.392044401,0.074571246,-5.257313245,1.46e-07,4.25e-05
"58","Bcl6",397.1783091,-0.812616242,0.157393404,-5.162962511,2.43e-07,6.34e-05
"64","Scn1b",1913.051918,-0.479186038,0.095069981,-5.040350614,4.65e-07,0.00010986
"67","Sorl1",6925.213553,-0.418324755,0.084203134,-4.968042565,6.76e-07,0.000152738
"68","Ak4",797.5812557,-0.711475921,0.144168597,-4.935027016,8.01e-07,0.000178323
"79","Ntrk3",2715.676819,-0.403598164,0.085629474,-4.713308897,2.44e-06,0.000476696
"100","Bhlhe40",325.7566518,-0.754758726,0.17028992,-4.432198499,9.33e-06,0.001411376
"105","Kcnip4",445.3679735,-0.649498349,0.150236118,-4.323183783,1.54e-05,0.002216238
"113","Sowahb",250.1457462,-0.797477839,0.186805006,-4.269038901,1.96e-05,0.002628737
"122","Slc12a5",6040.712849,-0.30260725,0.072752223,-4.159422743,3.19e-05,0.003957041
"134","Nell2",2680.558248,-0.340661328,0.083601448,-4.074825699,4.6e-05,0.005231345
"151","Ank1",4014.806767,-0.296612225,0.076521334,-3.876203006,0.000106099,0.010631699
"161","Ajm1",5052.961805,-0.278174512,0.073008228,-3.810180301,0.000138865,0.012970207
"167","Dusp4",228.5192541,0.759557391,0.200248243,3.793078925,0.000148791,0.013481163
"170","Fbn1",392.8605593,0.583103616,0.154608661,3.771480935,0.000162282,0.014111967
"199","Gabbr2",3396.020802,-0.290901251,0.080203498,-3.627039451,0.00028669,0.021798487
"260","Kcnj12",709.747187,-0.471427422,0.141297731,-3.336411838,0.000848673,0.049389528
"276","Tspan9",3240.332982,-0.252874018,0.076916702,-3.287634676,0.001010329,0.055188739
"286","Ppargc1b",263.6909335,-0.624946202,0.192575954,-3.245193336,0.001173709,0.062095776
"320","Syt7",3379.34448,-0.266027873,0.083938231,-3.169329029,0.001527913,0.072246421
"344","Cacna1g",6587.038644,-0.225279358,0.072645311,-3.101086036,0.001928123,0.084594043
"358","Phyhip",4980.995803,-0.242427321,0.078816407,-3.075848436,0.002099045,0.088716905
"364","Hr",1539.071404,-0.285795936,0.0938135,-3.046426522,0.002315791,0.096264367
"410","Iqsec1",2215.087596,-0.266582041,0.090976917,-2.930216239,0.003387262,0.125006491
"482","Car10",1378.647833,-0.290946152,0.104402523,-2.786773187,0.005323573,0.167118207
"514","Afap1l2",1319.4157,-0.276903076,0.102239841,-2.708367638,0.006761508,0.197304318
"518","Prrt1",2070.291324,-0.2339655,0.086395741,-2.708067508,0.006767625,0.197304318
"545","Crhr1",739.8422966,-0.391598862,0.147630908,-2.652553364,0.00798855,0.22178853
"554","Egr1",234.3005039,-0.509460819,0.193556576,-2.632102871,0.008485816,0.231766948
