Cluster,p7_1,p7_2,p7_3,p60_1,p60_2,p60_3
C1,6.14019363,6.168577404,6.438585959,5.199692675,5.908652106,6.048066758
C1,6.343876233,6.402725517,6.3960714,6.769686606,7.146495528,6.445478713
C1,4.808515397,4.208121347,5.400228985,-0.156868265,1.886555137,1.683734349
C1,5.042344543,5.738000155,3.669965431,-0.579165711,0.867455673,1.251741235
C1,5.582286821,5.374237503,6.133990422,4.78645927,5.353883212,4.754296628
C1,3.191467492,1.529876377,2.123750079,2.478006692,2.053871551,1.8780661
C1,0.466620815,0.653565387,1.940540907,-0.579165711,-0.294352584,1.475507388
C1,4.488502587,1.935877299,-2.345563936,-2.345563936,-2.345563936,1.8780661
C1,6.229771854,6.325409403,6.848756249,3.959202031,2.884232875,3.869065755
C1,3.341197963,2.676708664,3.851752436,3.277440392,5.152222323,4.809324261
C1,3.69852487,3.250483283,5.032901517,3.277440392,1.886555137,3.297979537
C1,3.614340189,3.414788638,3.366391456,2.773974811,2.999718182,2.54235952
C1,4.276907126,3.518158631,5.357801031,2.909914295,3.215388682,2.230545466
C1,1.191163679,2.883224682,2.123750079,-0.579165711,-2.345563936,3.403691102
C1,3.614340189,4.581085976,4.929828066,4.544562615,2.884232875,4.45535179
C1,3.341197963,3.011940327,1.307999939,2.478006692,1.886555137,2.059917924
C1,2.800777536,3.011940327,4.249879888,1.32614153,1.886555137,-0.202410215
C1,0.727051982,0.794812846,2.295481976,-0.156868265,0.042943207,1.475507388
C1,2.264454147,1.839624878,3.472151213,1.764119994,1.316966604,2.54235952
C1,4.97491225,4.385714906,5.522037425,4.78645927,4.268704783,4.031050583
C1,7.140152424,7.299006532,6.981340118,6.099266454,6.392781328,6.152705174
C1,6.151720716,5.436860011,6.235366188,3.691860644,3.994324312,4.518601698
C1,5.90086812,6.10302966,5.742702292,8.790113023,8.682096588,8.797523618
C1,0.967673239,1.636820653,1.307999939,2.909914295,1.886555137,2.685333905
C1,6.750584208,6.805908323,7.483770901,5.925433141,5.637993988,5.747214043
C1,3.341197963,0.014331198,-2.345563936,6.925347533,6.486095766,6.843327508
C1,8.458234545,8.430732861,8.685421395,8.652478384,8.652823518,8.763464768
C1,4.111975294,3.568131847,3.472151213,3.388291474,3.316300856,3.297979537
C1,5.170950951,5.885682589,6.080322884,5.89430246,6.333411616,5.608225482
C1,5.967852701,6.231099914,5.082578121,7.307357292,7.352563272,8.723422396
C1,4.179457308,5.331330623,5.314433724,6.126251685,5.275592938,5.203933012
C1,3.73946095,4.208121347,4.876311143,7.20972576,7.393366378,5.874962562
C1,0.466620815,0.9300212,0.190354273,-0.156868265,-0.294352584,-0.202410215
C1,8.634796753,8.860352234,8.738253698,8.402442354,8.734147606,8.520853394
C1,4.430145117,4.549741837,3.472151213,3.161084605,2.360740204,2.685333905
C1,3.031646348,1.935877299,2.60890634,3.038752302,2.360740204,1.475507388
C1,2.97593071,3.711729869,3.366391456,2.144268054,1.316966604,2.230545466
C1,4.545307246,4.898267369,4.647427631,6.277766488,6.373289282,5.874962562
C1,4.244908208,5.219884595,4.929828066,2.630260422,1.100313294,2.391041593
C1,3.086110695,2.948426531,4.099200794,0.523753188,1.100313294,-0.202410215
