cluster,p6_1,p6_2,p22_1,p22_2
C1,3.018817099,2.239414547,2.239414547,2.239414547
C1,3.018817099,2.239414547,2.239414547,2.239414547
C1,3.018817099,3.343282645,2.239414547,3.370081115
C1,2.239414547,2.239414547,2.239414547,3.048875787
C1,4.829246579,3.504453844,4.205193356,3.496036774
C1,6.416713375,7.224578163,5.159385896,5.086004014
C1,3.747622097,3.979001655,3.321728944,3.88798429
C1,2.239414547,2.239414547,2.873919726,2.239414547
C1,3.559337299,2.886944729,2.873919726,2.239414547
C1,3.559337299,2.886944729,2.873919726,2.239414547
C1,6.15502764,6.935944414,5.403696019,5.604673741
C1,3.559337299,3.147787115,3.129791839,3.048875787
C1,2.239414547,3.147787115,2.239414547,3.709312671
C1,5.320143335,6.514506846,5.120717887,6.0006695
C1,3.018817099,3.147787115,3.129791839,2.815492623
C1,4.292990685,4.240729754,2.239414547,3.88798429
C1,3.908780733,3.147787115,3.321728944,3.370081115
C1,3.747622097,3.343282645,3.321728944,3.370081115
C1,3.018817099,2.239414547,2.239414547,2.239414547
C1,2.239414547,2.239414547,3.321728944,2.815492623
C1,5.155712327,2.239414547,4.483515643,3.370081115
C1,2.239414547,2.239414547,2.239414547,3.370081115
C1,3.018817099,2.239414547,2.873919726,3.048875787
C1,7.192373517,7.503891803,6.414390248,6.576311292
C1,8.270161715,4.700363643,3.737910156,5.11866294
C1,8.283301913,8.641067209,7.360344491,7.290524768
C1,6.15502764,7.097722335,5.864333069,6.337847087
C1,2.239414547,2.239414547,2.239414547,2.815492623
C1,2.239414547,3.343282645,3.129791839,3.370081115
C1,8.572694163,8.91127564,7.674240752,7.649892442
C1,2.239414547,2.239414547,2.873919726,3.048875787
C1,2.239414547,2.886944729,2.873919726,2.815492623
C1,2.239414547,2.239414547,2.239414547,2.815492623
C1,4.829246579,4.643678264,4.41932272,4.570782057
C1,2.239414547,2.886944729,2.239414547,3.048875787
C1,2.239414547,2.239414547,3.321728944,2.239414547
C1,4.292990685,4.584494734,3.947110142,3.96799226
C1,8.026242438,8.665335242,6.846306276,7.142414374
C1,3.018817099,3.147787115,2.873919726,3.224599095
C1,3.018817099,2.886944729,2.873919726,2.239414547
C1,2.239414547,2.239414547,2.239414547,3.048875787
C1,3.018817099,2.886944729,2.239414547,3.048875787
C1,2.239414547,2.886944729,2.239414547,2.239414547
C1,2.239414547,2.886944729,2.239414547,2.239414547
C1,5.642309649,5.688596118,4.65931349,4.521666007
C1,3.018817099,2.239414547,2.239414547,2.239414547
C1,8.635519369,8.922824941,7.620785401,7.644398265
C1,2.239414547,3.147787115,2.239414547,2.239414547
C1,3.018817099,3.877596741,3.947110142,3.60800778
C1,4.67324514,5.042249766,5.975569045,6.364899547
C1,4.67324514,5.243200173,2.873919726,3.224599095
C1,3.018817099,2.239414547,3.847216168,2.239414547
C1,2.239414547,2.239414547,3.480091316,2.239414547
C1,4.17760713,3.504453844,3.616765873,3.048875787
C1,2.239414547,3.147787115,3.129791839,2.239414547
C1,3.559337299,3.147787115,2.239414547,3.224599095
C1,6.509329256,6.646043217,4.125002911,4.66390504
C1,3.329026725,2.886944729,3.129791839,2.239414547
C1,4.496764216,4.072526908,2.239414547,2.239414547
C1,2.239414547,2.239414547,3.480091316,3.370081115
C1,3.018817099,2.886944729,3.616765873,3.370081115
C1,3.018817099,2.886944729,3.321728944,2.239414547
C1,3.329026725,2.886944729,3.129791839,2.815492623
C1,4.58791829,5.126142792,3.847216168,3.88798429
C1,2.239414547,2.886944729,2.873919726,3.709312671
C1,5.682877603,5.575011986,4.351817253,4.113678139
C1,2.239414547,2.886944729,2.873919726,2.815492623
C1,7.816248742,7.972641454,5.932110729,6.017850651
C1,4.753486901,5.351210713,6.078754784,5.64962442
C1,2.239414547,2.239414547,3.129791839,3.048875787
C1,8.635519369,9.01203405,7.719441043,7.698419625
C1,6.658283515,6.841596742,4.997799522,5.150572285
C1,3.908780733,3.147787115,2.239414547,2.239414547
C1,7.945877202,8.434690871,7.214551515,7.499759475
C1,5.096293985,5.688596118,4.351817253,4.113678139
C1,7.67380024,8.312685097,6.633065257,6.480689733
C1,2.239414547,3.343282645,2.239414547,2.239414547
C1,3.747622097,3.979001655,4.544729774,4.304528635
C1,3.018817099,3.147787115,4.65931349,4.417598919
C1,3.747622097,2.886944729,3.480091316,2.239414547
C1,6.463768657,6.753637322,5.338127531,5.355589279
C1,3.018817099,3.147787115,3.129791839,2.815492623
C1,3.018817099,3.343282645,3.321728944,3.048875787
C1,3.018817099,3.147787115,2.873919726,2.815492623
C1,2.239414547,2.239414547,2.239414547,2.239414547
C1,3.018817099,2.239414547,2.873919726,2.239414547
C1,2.239414547,3.147787115,3.321728944,3.048875787
C1,2.239414547,2.239414547,3.947110142,3.496036774
C1,4.050557784,2.239414547,3.737910156,3.224599095
C1,5.904600328,6.026978228,3.947110142,3.496036774
C1,3.747622097,4.240729754,4.603248205,4.417598919
C1,8.529236882,8.550901822,6.098526526,6.17917074
C1,7.834220987,8.268101042,6.633065257,6.63299382
C1,3.747622097,3.877596741,2.873919726,3.048875787
C1,3.329026725,2.886944729,2.873919726,2.239414547
C1,2.239414547,2.239414547,3.616765873,2.239414547
C1,3.018817099,3.147787115,3.321728944,3.224599095
C1,4.58791829,5.126142792,4.764896313,4.043002559
C1,6.966383594,7.449001245,5.46634483,5.693193238
C1,3.747622097,3.504453844,4.039290574,4.304528635
C1,4.496764216,4.522565109,3.480091316,4.113678139
C1,7.920867291,8.573061148,6.193480141,6.310274043
C1,4.050557784,3.504453844,3.847216168,3.709312671
C1,2.239414547,2.239414547,2.873919726,3.224599095
C1,6.096416259,6.227391305,4.997799522,4.832835329
C1,7.299806316,7.910171304,8.178333316,8.290179877
C1,9.29757689,9.800310895,8.352353142,8.465486814
C1,6.15502764,6.026978228,5.743664228,5.67157614
C1,2.239414547,3.343282645,3.129791839,3.048875787
C1,8.512596767,8.876062304,7.492726766,7.475207842
C1,9.696627462,10.20682504,8.763239659,8.812588738
C1,2.239414547,3.343282645,3.480091316,3.60800778
C1,5.467303916,5.418860902,5.996811553,5.776512767
C1,9.418611596,9.84651992,8.561785698,8.621774917
C1,6.183456351,6.467838985,6.430052392,6.224219269
C1,3.908780733,3.877596741,4.039290574,2.815492623
C1,9.571018139,10.04715504,8.670964373,8.711170664
C1,7.954118342,8.226761724,6.822800227,6.877698065
C1,8.484429348,8.725925988,8.178333316,7.887007149
C1,4.17760713,3.343282645,3.321728944,2.239414547
C1,4.292990685,4.754765158,3.480091316,3.048875787
C1,3.908780733,3.147787115,3.737910156,3.496036774
C1,5.834464261,5.451504407,5.718250592,5.43504011
C1,9.376322187,9.911723244,8.32337625,8.324929084
C1,2.239414547,2.886944729,3.129791839,2.815492623
C1,9.633908012,10.07847042,8.680788528,8.752597486
C1,8.230007041,8.965329447,5.932110729,6.017850651
C1,7.481900328,7.955870833,6.591914554,6.687523896
C1,2.239414547,2.886944729,3.129791839,2.239414547
C1,5.798056182,5.938214764,4.41932272,4.113678139
C1,7.447276622,7.67763848,5.954005428,5.460557646
C1,3.018817099,3.643452153,3.737910156,3.802130128
C1,7.986619728,8.160003714,4.862858272,5.242138483
C1,4.496764216,3.504453844,4.280601186,2.239414547
C1,3.559337299,3.504453844,3.847216168,3.709312671
C1,6.91659126,7.243139155,6.869434219,6.95081091
C1,3.747622097,3.877596741,3.321728944,3.370081115
C1,5.096293985,4.389257932,4.351817253,4.113678139
C1,3.329026725,3.343282645,3.616765873,3.048875787
C1,2.239414547,3.343282645,3.737910156,3.048875787
C1,5.3709272,4.072526908,5.692373716,3.048875787
C1,3.329026725,2.239414547,3.947110142,3.496036774
C1,3.908780733,4.389257932,2.873919726,2.239414547
C1,7.076272579,7.358282772,5.269345864,5.300011315
C1,7.85197191,8.277128809,7.052314381,7.094837561
C1,6.717676765,7.177101044,5.743664228,5.911515615
C1,5.096293985,5.084830077,4.544729774,4.304528635
C1,9.805356194,10.25786946,8.858645886,8.921032859
C1,5.682877603,4.643678264,4.483515643,3.60800778
C1,3.559337299,3.147787115,3.847216168,3.048875787
C1,8.444047225,9.73466504,8.145597261,8.638446252
C1,3.329026725,3.147787115,2.873919726,2.815492623
C1,3.747622097,4.643678264,3.847216168,3.224599095
C1,2.239414547,2.886944729,4.205193356,3.88798429
C1,7.045722627,7.375207702,5.909874499,5.735463937
C1,8.80452575,9.123830702,7.875913304,7.785849732
C1,5.034219153,5.243200173,4.280601186,4.244046675
C1,2.239414547,2.239414547,3.737910156,2.239414547
C1,6.637927242,6.687340966,5.403696019,5.64962442
C1,7.912433297,8.818487789,6.774602711,6.644066707
C1,3.559337299,3.147787115,3.737910156,2.815492623
C1,9.448076864,9.944668948,7.870198967,8.290179877
C1,8.26354644,9.365151801,7.864461888,8.032883493
C1,9.623614922,10.09770287,7.817724232,7.765749959
C1,3.018817099,3.147787115,3.947110142,3.048875787
C1,8.420453678,8.818487789,7.276381446,7.35250793
C1,3.329026725,3.343282645,3.737910156,3.496036774
C1,5.557512751,5.205261829,4.764896313,4.304528635
C1,6.211331105,6.130693846,6.017742475,5.776512767
C1,8.353507677,9.12633026,7.841282477,8.053752768
C1,5.600546039,3.504453844,4.954273273,4.832835329
C1,5.869964052,5.891671248,4.997799522,5.55824893
C1,5.212699308,4.159446881,2.873919726,3.88798429
C1,3.908780733,3.147787115,3.847216168,3.496036774
C1,7.986619728,8.317068617,6.430052392,6.35143715
C1,2.239414547,3.147787115,3.129791839,3.370081115
C1,3.329026725,3.147787115,3.616765873,2.815492623
