"","X","res_n.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","annotation","significant","change"
"1",2,"peak2","2.421492505",263.932277,-0.064801024,0.259044937,-0.250153602,0.802468565,0.867840069,"Xkr4","Promoter","Not Sig","Unchanged"
"2",4,"peak4","2.265557248",184.3135432,0.388402413,0.274305746,1.415947052,0.156791007,0.262281158,"Mrpl15","Promoter","Not Sig","Unchanged"
"3",5,"peak5","2.439696168",275.230252,1.042799806,0.230567684,4.522749183,6.1e-06,5.4e-05,"Lypla1","Promoter","Sig","Up"
"4",6,"peak6","2.075637484",119.0248064,0.572629054,0.352110847,1.626274961,0.103891176,0.19084146,"Tcea1","Promoter","Not Sig","Unchanged"
"5",8,"peak8","1.822072569",66.3853989,0.111215326,0.438960154,0.253360868,0.799989364,0.866168311,"Rgs20","Promoter","Not Sig","Unchanged"
"6",10,"peak10","2.347045249",222.3541547,0.747888253,0.273139499,2.738118268,0.006179185,0.01957957,"Atp6v1h","Promoter","Sig","Unchanged"
"7",11,"peak11","1.126105549",13.36920395,-2.780055502,1.05211611,-2.642346673,0.008233373,0.024780945,"Npbwr1","Promoter","Sig","Down"
"8",12,"peak12","2.404566797",253.8439384,0.775723371,0.242536326,3.198380154,0.00138202,0.005640828,"Rb1cc1","Promoter","Sig","Unchanged"
"9",20,"peak20","1.47141069",29.60811027,-0.226776376,0.661386995,-0.342880006,0.731688734,0.81591097,"St18","Promoter","Not Sig","Unchanged"
"10",21,"peak21","1.696660732",49.7348408,-0.092298662,0.606693802,-0.152133848,0.879081368,0.921775027,"St18","Promoter","Not Sig","Unchanged"
"11",25,"peak25","2.169997902",147.9101244,0.488853117,0.31933993,1.53082365,0.125812983,0.221395696,"St18","Promoter","Not Sig","Unchanged"
"12",28,"peak28","2.496436697",313.6437927,0.598964978,0.272470499,2.198274603,0.027929543,0.06695047,"Pcmtd1","Promoter","Not Sig","Unchanged"
