Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)						
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22						
Analyzed List:	upload_1 (Mus musculus)						
Reference List:	Mus musculus (all genes in database)						
Test Type:	FISHER						
Correction:	FDR						
PANTHER GO-Slim Biological Process	Mus musculus - REFLIST (21997)	upload_1 (512)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
anterior/posterior pattern specification (GO:0009952)	36	12	0.84	+	14.32	5.59E-10	2.22E-08
cell fate specification (GO:0001708)	25	7	0.58	+	12.03	6.21E-06	1.86E-04
pattern specification process (GO:0007389)	59	16	1.37	+	11.65	1.01E-11	4.32E-10
chordate embryonic development (GO:0043009)	19	5	0.44	+	11.31	1.77E-04	4.69E-03
embryonic organ development (GO:0048568)	27	7	0.63	+	11.14	9.55E-06	2.75E-04
embryonic morphogenesis (GO:0048598)	36	9	0.84	+	10.74	6.50E-07	2.15E-05
skeletal system development (GO:0001501)	30	6	0.7	+	8.59	1.47E-04	4.02E-03
animal organ morphogenesis (GO:0009887)	82	16	1.91	+	8.38	6.94E-10	2.70E-08
cell fate commitment (GO:0045165)	57	11	1.33	+	8.29	3.60E-07	1.23E-05
chaperone-mediated protein folding (GO:0061077)	26	5	0.61	+	8.26	6.22E-04	1.62E-02
embryo development (GO:0009790)	70	13	1.63	+	7.98	4.65E-08	1.66E-06
sodium ion transmembrane transport (GO:0035725)	77	12	1.79	+	6.7	8.18E-07	2.59E-05
heart development (GO:0007507)	56	8	1.3	+	6.14	9.82E-05	2.72E-03
sodium ion transport (GO:0006814)	91	13	2.12	+	6.14	6.96E-07	2.27E-05
tube morphogenesis (GO:0035239)	68	7	1.58	+	4.42	1.58E-03	3.66E-02
hemopoiesis (GO:0030097)	78	8	1.82	+	4.41	7.62E-04	1.97E-02
hematopoietic or lymphoid organ development (GO:0048534)	78	8	1.82	+	4.41	7.62E-04	1.94E-02
circulatory system development (GO:0072359)	121	12	2.82	+	4.26	5.36E-05	1.51E-03
regulation of cation transmembrane transport (GO:1904062)	71	7	1.65	+	4.24	1.99E-03	4.54E-02
immune system development (GO:0002520)	83	8	1.93	+	4.14	1.11E-03	2.73E-02
anatomical structure morphogenesis (GO:0009653)	483	45	11.24	+	4	2.98E-14	1.35E-12
animal organ development (GO:0048513)	432	40	10.06	+	3.98	1.02E-12	4.55E-11
regulation of transcription by RNA polymerase II (GO:0006357)	1332	122	31	+	3.94	1.11E-37	2.47E-34
transcription by RNA polymerase II (GO:0006366)	1377	122	32.05	+	3.81	2.34E-36	2.60E-33
developmental process (GO:0032502)	1430	120	33.28	+	3.61	1.28E-33	4.74E-31
cell differentiation (GO:0030154)	879	73	20.46	+	3.57	5.60E-20	3.36E-18
cellular developmental process (GO:0048869)	882	73	20.53	+	3.56	6.69E-20	3.72E-18
anatomical structure development (GO:0048856)	1281	104	29.82	+	3.49	7.96E-28	7.68E-26
system development (GO:0048731)	879	70	20.46	+	3.42	2.89E-18	1.39E-16
"regulation of transcription, DNA-templated (GO:0006355)"	1659	131	38.61	+	3.39	2.12E-34	1.57E-31
regulation of nucleic acid-templated transcription (GO:1903506)	1659	131	38.61	+	3.39	2.12E-34	1.18E-31
regulation of RNA biosynthetic process (GO:2001141)	1659	131	38.61	+	3.39	2.12E-34	9.40E-32
multicellular organism development (GO:0007275)	979	75	22.79	+	3.29	1.18E-18	6.25E-17
