




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Mus musculus - REFLIST (21997)	upload_1 (726)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
circadian regulation of gene expression (GO:0032922)	17	5	.56	+	8.91	5.50E-04	8.54E-03
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	17	5	.56	+	8.91	5.50E-04	8.48E-03
circadian rhythm (GO:0007623)	24	7	.79	+	8.84	4.44E-05	1.10E-03
positive regulation of axonogenesis (GO:0050772)	18	5	.59	+	8.42	6.84E-04	9.93E-03
rhythmic process (GO:0048511)	26	7	.86	+	8.16	6.83E-05	1.53E-03
regulation of ERBB signaling pathway (GO:1901184)	19	5	.63	+	7.97	8.42E-04	1.20E-02
calcium ion transmembrane import into cytosol (GO:0097553)	25	6	.83	+	7.27	3.87E-04	6.67E-03
epidermal growth factor receptor signaling pathway (GO:0007173)	21	5	.69	+	7.21	1.24E-03	1.62E-02
calcium ion transport into cytosol (GO:0060402)	26	6	.86	+	6.99	4.64E-04	7.58E-03
calcium-ion regulated exocytosis (GO:0017156)	26	6	.86	+	6.99	4.64E-04	7.52E-03
regulation of potassium ion transmembrane transport (GO:1901379)	22	5	.73	+	6.89	1.48E-03	1.86E-02
negative regulation of MAPK cascade (GO:0043409)	27	6	.89	+	6.73	5.52E-04	8.45E-03
regulation of neurogenesis (GO:0050767)	59	13	1.95	+	6.68	4.06E-07	1.96E-05
regulation of potassium ion transport (GO:0043266)	23	5	.76	+	6.59	1.75E-03	2.08E-02
positive regulation of synaptic transmission (GO:0050806)	23	5	.76	+	6.59	1.75E-03	2.07E-02
regulation of axonogenesis (GO:0050770)	43	9	1.42	+	6.34	3.55E-05	9.16E-04
ERBB signaling pathway (GO:0038127)	24	5	.79	+	6.31	2.06E-03	2.34E-02
positive regulation of neurogenesis (GO:0050769)	24	5	.79	+	6.31	2.06E-03	2.32E-02
positive regulation of cell development (GO:0010720)	29	6	.96	+	6.27	7.66E-04	1.10E-02
regulation of synaptic plasticity (GO:0048167)	25	5	.83	+	6.06	2.41E-03	2.64E-02
calcium ion import (GO:0070509)	30	6	.99	+	6.06	8.95E-04	1.26E-02
regulation of nervous system development (GO:0051960)	75	15	2.48	+	6.06	1.58E-07	1.03E-05
regulation of cell development (GO:0060284)	70	14	2.31	+	6.06	4.09E-07	1.89E-05
positive regulation of nervous system development (GO:0051962)	36	7	1.19	+	5.89	3.90E-04	6.67E-03
calcium-mediated signaling (GO:0019722)	27	5	.89	+	5.61	3.23E-03	3.37E-02
potassium ion transmembrane transport (GO:0071805)	110	20	3.63	+	5.51	5.87E-09	1.00E-06
positive regulation of protein kinase activity (GO:0045860)	33	6	1.09	+	5.51	1.38E-03	1.76E-02
potassium ion transport (GO:0006813)	111	20	3.66	+	5.46	6.72E-09	9.33E-07
cytosolic calcium ion transport (GO:0060401)	34	6	1.12	+	5.35	1.58E-03	1.94E-02
axon guidance (GO:0007411)	96	15	3.17	+	4.73	2.53E-06	9.35E-05
neuron projection guidance (GO:0097485)	96	15	3.17	+	4.73	2.53E-06	9.19E-05
regulation of cell differentiation (GO:0045595)	126	18	4.16	+	4.33	8.29E-07	3.41E-05
regulation of neuron projection development (GO:0010975)	70	10	2.31	+	4.33	2.28E-04	4.33E-03
positive regulation of kinase activity (GO:0033674)	78	11	2.57	+	4.27	1.24E-04	2.68E-03
axonogenesis (GO:0007409)	135	19	4.46	+	4.26	5.07E-07	2.30E-05
cellular response to peptide (GO:1901653)	43	6	1.42	+	4.23	4.53E-03	4.51E-02
cellular response to peptide hormone stimulus (GO:0071375)	43	6	1.42	+	4.23	4.53E-03	4.49E-02
axon development (GO:0061564)	138	19	4.55	+	4.17	6.84E-07	2.92E-05
cell morphogenesis involved in neuron differentiation (GO:0048667)	153	21	5.05	+	4.16	1.88E-07	1.19E-05
regulation of anatomical structure morphogenesis (GO:0022603)	104	14	3.43	+	4.08	2.47E-05	6.78E-04
regulation of GTPase activity (GO:0043087)	135	18	4.46	+	4.04	2.02E-06	7.61E-05
calcium ion transmembrane transport (GO:0070588)	68	9	2.24	+	4.01	7.66E-04	1.10E-02
neuron projection morphogenesis (GO:0048812)	175	23	5.78	+	3.98	1.01E-07	7.70E-06
cell projection morphogenesis (GO:0048858)	176	23	5.81	+	3.96	1.10E-07	8.17E-06
plasma membrane bounded cell projection morphogenesis (GO:0120039)	176	23	5.81	+	3.96	1.10E-07	7.90E-06
cellular component morphogenesis (GO:0032989)	200	26	6.60	+	3.94	1.82E-08	1.84E-06
cell part morphogenesis (GO:0032990)	177	23	5.84	+	3.94	1.21E-07	8.40E-06
positive regulation of transferase activity (GO:0051347)	85	11	2.81	+	3.92	2.46E-04	4.58E-03
regulation of membrane potential (GO:0042391)	116	15	3.83	+	3.92	1.97E-05	5.53E-04
cell morphogenesis involved in differentiation (GO:0000904)	172	22	5.68	+	3.88	2.90E-07	1.57E-05
response to peptide hormone (GO:0043434)	55	7	1.82	+	3.86	3.54E-03	3.65E-02
regulation of cation transmembrane transport (GO:1904062)	71	9	2.34	+	3.84	1.01E-03	1.39E-02
regulation of ion transport (GO:0043269)	120	15	3.96	+	3.79	2.82E-05	7.45E-04
response to peptide (GO:1901652)	56	7	1.85	+	3.79	3.87E-03	3.96E-02
positive regulation of cell differentiation (GO:0045597)	56	7	1.85	+	3.79	3.87E-03	3.94E-02
regulated exocytosis (GO:0045055)	57	7	1.88	+	3.72	4.23E-03	4.25E-02
calcium ion transport (GO:0006816)	90	11	2.97	+	3.70	3.84E-04	6.65E-03
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	198	24	6.53	+	3.67	2.08E-07	1.28E-05
regulation of ion transmembrane transport (GO:0034765)	92	11	3.04	+	3.62	4.55E-04	7.48E-03
regulation of trans-synaptic signaling (GO:0099177)	86	10	2.84	+	3.52	9.91E-04	1.37E-02
modulation of chemical synaptic transmission (GO:0050804)	86	10	2.84	+	3.52	9.91E-04	1.37E-02
regulation of metal ion transport (GO:0010959)	69	8	2.28	+	3.51	3.16E-03	3.32E-02
regulation of plasma membrane bounded cell projection organization (GO:0120035)	87	10	2.87	+	3.48	1.07E-03	1.45E-02
regulation of transmembrane transport (GO:0034762)	96	11	3.17	+	3.47	6.30E-04	9.51E-03
