"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"226",976,976,"2.573960618",374.9390008,-1.466777113,0.495885343,-2.957895679,0.003097469,0.018851482,1.724654494,"Not Sig","Unchanged","Vwa3b","Promoter"
"227",981,981,"2.06444512",115.9965626,-0.560440123,0.409869606,-1.367361997,0.171511868,0.33840518,0.470562997,"Not Sig","Unchanged","Vwa3b","Promoter"
"228",984,984,"1.353680017",22.57771657,0.609499129,0.563453406,1.081720551,0.279376719,0.467704217,0.330028714,"Not Sig","Unchanged","Vwa3b","Promoter"
"229",987,987,"0.827044027",6.71496923,1.309196406,1.029119138,1.272152424,0.203318968,NA,NA,"Not Sig","Unchanged","Vwa3b","Promoter"
"299",1333,1333,"2.624807145",421.509284,-0.629334393,0.587262444,-1.071640796,0.283881402,0.472723945,0.325392399,"Not Sig","Unchanged","Pou3f3","Promoter"
"300",1334,1334,"2.563076859",365.6594986,1.671861849,0.774637092,2.158251737,0.030908265,0.101495396,0.993553657,"Not Sig","Unchanged","Pou3f3","Promoter"
"301",1335,1335,"2.066786147",116.6235203,1.47785958,0.76710746,1.926535275,0.054037572,0.151585061,0.819343598,"Not Sig","Unchanged","Pou3f3","Promoter"
"302",1336,1336,"1.808343918",64.31968642,2.466191676,0.782875573,3.150170681,0.001631751,0.011772579,1.929128374,"Sig","Up","Pou3f3","Promoter"
"837",3584,3584,"1.435802177",27.27735006,-0.418745033,0.653761765,-0.640516248,0.521837029,0.693512408,0.158945764,"Not Sig","Unchanged","Prlh","Promoter"
"838",3585,3585,"1.762047777",57.81596481,-1.600346216,0.502586046,-3.184223335,0.00145143,0.010802287,1.966484296,"Not Sig","Unchanged","Prlh","Promoter"
"839",3587,3587,"2.024746611",105.8635884,-1.521594574,0.399359887,-3.81008364,0.00013892,0.001940457,2.712095926,"Not Sig","Unchanged","Rab17","Promoter"
"928",3850,3850,"2.901950187",797.9031636,0.439845504,0.575844161,0.763827323,0.444970152,0.628622997,0.201609735,"Not Sig","Unchanged","Bok","Promoter"
"929",3851,3851,"1.769730228",58.84779949,0.723044822,0.427052802,1.693104037,0.090435666,0.218171778,0.66120143,"Not Sig","Unchanged","Bok","Promoter"
"987",4216,4216,"1.442484884",27.70032626,-0.94973867,0.516082575,-1.840284317,0.065726507,0.174230329,0.758876244,"Not Sig","Unchanged","Gli2","Promoter"
"988",4217,4217,"2.19507079",156.7006471,-1.937168553,0.394056999,-4.915960272,8.83e-07,4.1e-05,4.386757671,"Not Sig","Unchanged","Gli2","Promoter"
"989",4226,4226,"1.841788437",69.46858242,0.771742219,0.607744133,1.269847255,0.204139044,0.380639066,0.41948664,"Not Sig","Unchanged","Gli2","Promoter"
"990",4227,4227,"2.904058691",801.7864108,0.866282769,0.634411601,1.365490114,0.172099058,0.339056161,0.469728359,"Not Sig","Unchanged","Gli2","Promoter"
"1049",4612,4612,"2.212195661",163.0030238,-0.020555722,0.588456847,-0.034931571,0.972134306,0.985706368,0.006252438,"Not Sig","Unchanged","Cxcr4","Promoter"
"1050",4613,4613,"2.628681808",425.2867067,-0.235045109,0.580545357,-0.404869502,0.685573438,0.814539197,0.089088012,"Not Sig","Unchanged","Cxcr4","Promoter"
"1051",4614,4614,"2.262255942",182.9177886,0.095783602,0.616203781,0.155441438,0.876473318,0.933816197,0.029738597,"Not Sig","Unchanged","Cxcr4","Promoter"
"1161",5007,5007,"2.126387585",133.7788889,0.967405189,0.39395738,2.455608748,0.014064619,0.057018182,1.243986633,"Not Sig","Unchanged","Golt1a","Promoter"
"1162",5008,5008,"2.241768168",174.4890459,0.724438388,0.398922728,1.815986751,0.069372405,0.181052796,0.742194763,"Not Sig","Unchanged","Golt1a","Promoter"
