"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"2",11,11,"2.640767924",437.2883664,0.931309924,0.707898946,1.315597275,0.188309249,0.360453916,0.443150252,"Not Sig","Unchanged","Sox17","Promoter"
"90",321,321,"3.198662812",1580.02083,2.014068083,0.568302072,3.544009746,0.000394091,0.004182315,2.378583289,"Sig","Up","Jph1","Promoter"
"95",351,351,"1.528108012",33.73712044,-0.189895814,0.641322541,-0.296100327,0.767153464,0.868539047,0.061210652,"Not Sig","Unchanged","Gm15825","Promoter"
"96",352,352,"1.634689039",43.12102138,-0.219607652,0.711108562,-0.308824368,0.757455132,0.862253257,0.064365156,"Not Sig","Unchanged","Gm15825","Promoter"
"127",529,529,"1.546531416",35.19908839,0.531894965,0.658839857,0.807320564,0.419481819,0.606540852,0.217139943,"Not Sig","Unchanged","Col19a1","Promoter"
"128",536,536,"2.819042288",659.2380835,1.874203112,0.567995856,3.299677442,0.00096796,0.008077089,2.092745151,"Not Sig","Unchanged","Col19a1","Promoter"
"152",684,684,"1.907024137",80.72798954,1.148743495,0.508151851,2.260630346,0.023782157,0.083898986,1.07624329,"Not Sig","Unchanged","Bend6","Promoter"
"153",685,685,"3.102322823",1265.676809,1.907214675,0.602668103,3.164618581,0.001552864,0.01133675,1.945511429,"Not Sig","Unchanged","Bend6","Promoter"
"154",697,697,"2.522506456",333.0477131,0.530090284,0.413035191,1.283402229,0.199351193,0.374762317,0.426244085,"Not Sig","Unchanged","Dst","Promoter"
"155",698,698,"1.637388393",43.38987439,0.906975583,0.498486986,1.819456894,0.068841754,0.180079773,0.744535065,"Not Sig","Unchanged","Dst","Promoter"
"156",699,699,"2.717002414",521.1976082,1.107935455,0.580107568,1.909879331,0.056148752,0.15590604,0.80713706,"Not Sig","Unchanged","Dst","Promoter"
"157",706,706,"1.267072002",18.49575236,-0.477911212,0.603427799,-0.791994025,0.42836416,0.614137952,0.211734063,"Not Sig","Unchanged","Dst","Promoter"
"158",707,707,"1.330773137",21.4177151,-0.293128961,0.627410362,-0.467204526,0.640353556,0.783282337,0.106081667,"Not Sig","Unchanged","Dst","Promoter"
"159",708,708,"1.851350887",71.01513009,-0.031614397,0.570566631,-0.055408774,0.955812806,0.977216735,0.010009104,"Not Sig","Unchanged","Dst","Promoter"
"161",714,714,"1.546801276",35.22096701,-0.09158324,0.614161075,-0.149119252,0.881459535,0.936659626,0.028418199,"Not Sig","Unchanged","Dst","Promoter"
"162",715,715,"1.87255033",74.56762826,-0.455629795,0.515788477,-0.883365596,0.377038773,0.567774059,0.245824454,"Not Sig","Unchanged","Dst","Promoter"
"163",719,719,"1.985943631",96.81521883,-0.183148153,0.502846368,-0.364222881,0.715691582,0.834592939,0.078525294,"Not Sig","Unchanged","Dst","Promoter"
"164",726,726,"2.219823668",165.891322,0.530364705,0.573146401,0.925356426,0.354780537,0.546086446,0.262738603,"Not Sig","Unchanged","Dst","Promoter"
"165",730,730,"2.471930237",296.4355173,1.661928816,0.414901537,4.005598122,6.19e-05,0.001054215,2.977070992,"Not Sig","Unchanged","Dst","Promoter"
"169",746,746,"2.842063329",695.125673,0.961680142,0.416822039,2.307172009,0.021045233,0.076807047,1.114598931,"Not Sig","Unchanged","Ptpn18","Promoter"
"170",747,747,"2.229028217",169.444789,0.775366929,0.377323691,2.054911863,0.039887518,0.122088587,0.913324933,"Not Sig","Unchanged","Ptpn18","Promoter"
"171",748,748,"2.221794821",166.6459721,0.444903463,0.477260989,0.932201612,0.351232343,0.542398025,0.265681901,"Not Sig","Unchanged","Ptpn18","Promoter"
"172",755,755,"1.545429421",35.10988613,0.479247902,0.545121186,0.879158458,0.379315365,0.56979446,0.244281777,"Not Sig","Unchanged","Cfc1","Promoter"
"175",759,759,"2.977569643",949.6632732,1.809584669,0.350392099,5.164456263,2.41e-07,1.47e-05,4.83231048,"Not Sig","Unchanged","Amer3","Promoter"
"178",768,768,"2.001527739",100.3523945,0.767470425,0.365991067,2.096964908,0.035996682,0.113361138,0.945535804,"Not Sig","Unchanged","Arhgef4","Promoter"
"179",769,769,"2.406890196",255.2055976,1.347489675,0.589458098,2.285980426,0.022255404,0.079991424,1.09695657,"Not Sig","Unchanged","Arhgef4","Promoter"
"180",775,775,"1.86953303",74.05135842,1.000445529,0.391399868,2.556070171,0.010586177,0.046354564,1.333907504,"Not Sig","Unchanged","Arhgef4","Promoter"
"181",776,776,"3.059089698",1145.749557,2.852814094,0.639983763,4.457635113,8.29e-06,0.000229832,3.638589541,"Sig","Up","Arhgef4","Promoter"
"182",777,777,"1.621717955",41.85216749,0.996152264,0.533894486,1.865822351,0.062066224,0.167351939,0.77636925,"Not Sig","Unchanged","Arhgef4","Promoter"
"183",781,781,"2.588728304",387.9076141,1.390843798,0.49006752,2.838065658,0.004538785,0.024921367,1.603428148,"Not Sig","Unchanged","Arhgef4","Promoter"
