"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"175",759,759,"2.977569643",949.6632732,1.809584669,0.350392099,5.164456263,2.41e-07,1.47e-05,4.83231048,"Not Sig","Unchanged","Amer3","Promoter"
"1207",5148,5148,"1.711174823",51.42506186,1.571744012,0.595387269,2.639868357,0.008293824,0.038690461,1.412396097,"Not Sig","Unchanged","Syt2","Promoter"
"1208",5149,5149,"2.635928692",432.442821,2.404754899,0.595347977,4.03924258,5.36e-05,0.000949574,3.022471258,"Sig","Up","Syt2","Promoter"
"1209",5161,5161,"2.736629095",545.2919604,0.951652777,0.394102624,2.41473342,0.01574673,0.062033203,1.207375793,"Not Sig","Unchanged","Syt2","Promoter"
"1431",6121,6121,"1.253855242",17.9413551,-2.490640895,0.663539809,-3.753566644,0.000174336,0.002286654,2.64079949,"Sig","Down","Sec16b","Promoter"
"1432",6122,6122,"1.489378919",30.85879187,-1.435787248,0.508363708,-2.824330741,0.004737947,0.025693863,1.590170592,"Not Sig","Unchanged","Sec16b","Promoter"
"1433",6125,6125,"2.121020835",132.1359024,0.014246633,0.642947973,0.022158299,0.982321682,0.990817081,0.004006515,"Not Sig","Unchanged","Sec16b","Promoter"
"1434",6126,6126,"1.887874009",77.24564584,-0.098896737,0.62827586,-0.157409736,0.874921941,0.932928618,0.030151585,"Not Sig","Unchanged","Sec16b","Promoter"
"1537",6588,6588,"3.125910654",1336.32057,2.060305389,0.639045503,3.224035502,0.001263977,0.009779783,2.009670785,"Sig","Up","Fam78b","Promoter"
"1538",6589,6589,"2.144401447",139.4445184,1.324942925,0.627000912,2.113143536,0.034588484,0.11011798,0.958141765,"Not Sig","Unchanged","Fam78b","Promoter"
"1712",7263,7263,"2.379476944",239.5945552,1.351952973,0.547756021,2.468166338,0.01358072,0.055565847,1.25519206,"Not Sig","Unchanged","Kif26b","Promoter"
"1713",7264,7264,"1.786419065",61.15318275,0.75428199,0.714275766,1.056009493,0.290963878,0.480272929,0.318511892,"Not Sig","Unchanged","Kif26b","Promoter"
"1714",7265,7265,"3.145817072",1398.997932,1.515868265,0.650081674,2.331812024,0.019710582,0.073150115,1.135784986,"Not Sig","Unchanged","Kif26b","Promoter"
"1715",7295,7295,"2.183794572",152.6843668,1.763058485,0.370775421,4.755057598,1.98e-06,7.63e-05,4.117435186,"Not Sig","Unchanged","Kif26b","Promoter"
"1738",7431,7431,"2.70687297",509.1819145,1.830551093,0.556998493,3.286456098,0.001014566,0.008352924,2.078161471,"Not Sig","Unchanged","Itpkb","Promoter"
"1739",7432,7432,"2.54585426",351.4424844,2.122349256,0.650507239,3.262606668,0.001103926,0.008874953,2.051833934,"Sig","Up","Itpkb","Promoter"
"1938",8510,8510,"2.189800678",154.8105943,0.812339146,0.414324454,1.960635291,0.049921582,0.143278392,0.843819301,"Not Sig","Unchanged","Plxna2","Promoter"
"1939",8511,8511,"2.942283145",875.5544198,1.439890725,0.481621844,2.989670717,0.002792783,0.017478984,1.757483814,"Not Sig","Unchanged","Plxna2","Promoter"
"2006",8965,8965,"2.322835859",210.2983471,0.123602924,0.392417546,0.314978078,0.752778299,0.859216391,0.065897447,"Not Sig","Unchanged","Grm1","Promoter"
"2007",8966,8966,"1.43244974",27.06759939,0.11210024,0.586571071,0.191111095,0.848438555,0.917494711,0.037396431,"Not Sig","Unchanged","Grm1","Promoter"
"2008",8967,8967,"2.160590679",144.7407035,0.722930479,0.37432433,1.931294392,0.053446656,0.150515361,0.822419174,"Not Sig","Unchanged","Grm1","Promoter"
"2380",10631,10631,"2.935819099",862.6191568,0.687356183,0.752145252,0.91386096,0.36078991,0.552012048,0.258051444,"Not Sig","Unchanged","Sh3rf3","Promoter"
"2381",10654,10654,"1.36411569",23.12680773,-1.843539395,0.752531427,-2.449783929,0.014294196,0.057711417,1.238738261,"Not Sig","Unchanged","Sh3rf3","Promoter"
"2382",10656,10656,"2.051193324",112.5105699,-2.332620207,0.408346455,-5.712355724,1.11e-08,1.34e-06,5.872822275,"Sig","Down","Sh3rf3","Promoter"
"2383",10657,10657,"1.540284868",34.69643609,-0.423472717,0.522169879,-0.810986488,0.41737343,0.604738491,0.218432388,"Not Sig","Unchanged","Sh3rf3","Promoter"
"2384",10658,10658,"1.522175042",33.27936583,-0.048980796,0.589731811,-0.083056051,0.933806971,0.965585308,0.015209351,"Not Sig","Unchanged","Sh3rf3","Promoter"
"2385",10659,10659,"1.655948687",45.28440719,-1.267120977,0.506621699,-2.501118643,0.01238017,0.051890201,1.284914649,"Not Sig","Unchanged","Sh3rf3","Promoter"
"2434",10875,10875,"2.83007264",676.1960663,1.45132378,0.459790887,3.156486616,0.001596822,0.011577364,1.936390325,"Not Sig","Unchanged","Unc5b","Promoter"
