"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2m",687.528447751035,2.0856323141272,0.431516448942681,4.83326260038871,1.34313425973715e-06,1.05435705774299e-05
"A3galt2",89.3288303804094,-0.21740207368883,0.464074808210538,-0.468463424091317,0.639453221298979,0.751712615288594
"A4galt",310.565965695665,3.79564097863753,0.488342984030887,7.77249003826677,7.69580590677087e-15,1.77014737902174e-13
"AA386476",9.18402684115063,0.37419796364034,1.05784312490876,0.353736726012766,0.723536196472913,0.814396963933683
"AA387200",29.8794132053443,-2.42702545328996,0.711254173543124,-3.41231804827196,0.00064412912020293,0.00282894062185845
"AA413626",5.61404562455626,-0.199770332018093,1.31026688557497,-0.152465374968574,0.878819897900115,0.924944187199788
"AA414768",30.4304271768329,0.720844644902108,0.670391985344996,1.07525844678938,0.282259034529407,0.422933554298663
"AA465934",64.4343876514974,0.404197108568835,0.530061048002256,0.76254821985545,0.445732875308371,0.588181285647005
"AA474408",32.7889125715044,-0.706271514485113,0.611625469162025,-1.15474510152882,0.248194824272666,0.385663575294467
"AA543186",11.6092600584461,-0.923176152364812,0.975648329232762,-0.94621814510848,0.344037333110514,0.488540432945034
"AA914427",18.4350791816782,-0.540017157957532,0.767681041241836,-0.703439487165106,0.481781905598081,0.620588191104608
"AA986860",35.9409696560179,0.589977119969042,0.591119614083694,0.998067237006807,0.318246755885179,0.460989571592043
"AB041806",42.8707254263553,3.47935966714733,0.697442613089538,4.98873972115703,6.07744633411894e-07,5.06329687905096e-06
"AB124611",15.1157836394483,-0.0313849868107508,0.826354651999526,-0.0379800449296301,0.969703592386688,0.980562882632267
"AC025794.1",2.50352652076394,-3.29799479556975,2.14477408038019,-1.53768866648423,0.124124756080502,NA
"AC026385.1",25.3641411727208,0.284415242359425,0.668178698780933,0.425657451933637,0.670357469957956,0.775418251978305
"AC061963.1",48.8882772961594,-0.577731305579266,0.584818078476444,-0.98788208990454,0.323210397849515,0.466639626022661
"AC079441.1",218.537475811786,2.44069825421765,0.426916182640072,5.71704318895631,1.08393574791858e-08,1.19278222065525e-07
"AC090479.2",114.658592267749,-1.89166724966973,0.4607177557798,-4.1059134924547,4.02720186357581e-05,0.000236220652740256
"AC090881.3",2.53592136526,0.0594776995175262,1.79750780786116,0.0330889797849046,0.973603630796796,NA
"AC091309.1",2.40251271079182,2.46430746726514,2.06749864642709,1.19192700392999,0.233289868703899,NA
"AC091309.4",1.97191351528323,-0.680291892785931,2.23321083287691,-0.304625019174546,0.760651762593206,NA
"AC093020.1",61.9614897561538,-3.53765181658585,0.592070025173614,-5.97505643956303,2.30010538243537e-09,2.76818471083349e-08
"AC098707.1",7.02644609554613,-5.15737741487756,1.62166888463613,-3.18029004794943,0.00147127709203432,0.00584736433811024
"AC098880.1",6.45194060855991,-3.03563347293355,1.56081541210352,-1.94490229234885,0.0517867390987043,0.115469740544338
"AC098880.2",224.608978254307,0.37369531357458,0.494447085945882,0.755784236971885,0.449778569119893,0.592234059597746
"AC099605.1",2.54432075824585,2.61459234926189,2.17326327062945,1.20307207350199,0.228948431135711,NA
"AC102055.1",27.9588966386216,0.94603699916052,0.700845200010334,1.34985157798979,0.177063596476328,0.299888419241044
"AC102106.1",4.43099878053796,-0.22942369382173,1.41866932056145,-0.16171752676722,0.871528301857092,0.920334818627758
"AC102132.1",128.070018553836,0.781813094086138,0.430417332655107,1.81640708858861,0.0693079486291852,0.145000130313088
"AC102342.2",5.74405831283046,-4.87202762338539,1.74798111755848,-2.7872312660851,0.00531605257170289,0.0176415885367662
"AC102496.1",319.645707768481,-1.12094759529013,0.393698328805841,-2.84722467247999,0.00441022248691428,0.0150649234194162
"AC104328.1",2.03449272543344,-2.88782320792488,2.37795981822427,-1.21441211318757,0.224590392109545,NA
"AC105304.4",2.87573049895356,0.577841982421688,1.71853255334881,0.336241510988942,0.736688752076722,NA
"AC106834.1",14.5450093340877,0.825775997626635,0.880719469746533,0.937615240712561,0.348442176201245,0.493420850285158
"AC107768.1",3.11129383885334,0.161160628008799,1.69772330516287,0.0949274993862078,0.924372413793272,0.952584640847872
"AC107792.3",1.91987982588042,0.732249492909899,2.22735223925381,0.328753342199352,0.742342131985321,NA
"AC109619.1",46.5689473631296,1.62242185350576,0.567237264666727,2.8602173280329,0.00423350777432306,0.0145556766427008
"AC110206.1",13.2981812786727,3.80198529031166,1.06917225418929,3.55600818803007,0.000376532347017097,0.00174793306332672
"AC110730.1",6.05750646687127,1.75898912344506,1.41426264190027,1.24374997354211,0.213591597373241,0.344933512692076
"AC110913.1",2.29379976563191,0.0205951995648068,1.8672699913607,0.0110295777579539,0.99119984862051,NA
"AC111023.1",3.46462453004114,0.556561134324919,1.55834120450918,0.357149726076976,0.720979719908119,0.813141212903298
"AC112949.1",1.93792992471969,1.08187644215263,2.20023326152256,0.491709884161997,0.622924449822075,NA
"AC113003.1",313.140729183665,-0.586391233942012,0.419022035592534,-1.3994281544473,0.161684628993952,0.279197957312035
"AC113458.1",6.1717369064486,1.32271590725761,1.2881954892395,1.02679749953052,0.304515827050549,0.446387643696206
"AC113528.1",7.82032572421758,-2.18114402187436,1.20269283786495,-1.81355035400924,0.0697469796373081,0.145593364891512
"AC113540.1",6.44364496935463,-1.11158487376063,1.2370449068878,-0.898580857955428,0.368875958473857,0.514472894598755
"AC113599.1",5.29816842158823,-0.685634656355988,1.30934745985609,-0.523646073618492,0.600524729540897,0.720163425442625
"AC114539.1",60.5354557265046,0.479668850816331,0.554413130460678,0.865183063788119,0.386938319545174,0.532149636679969
"AC114990.1",12.5653675574612,0.019842277411956,0.886567101190549,0.0223810215665687,0.982144019156419,0.988650770207016
"AC115117.2",20.8064804457944,1.59315131195446,0.738207224563352,2.15813562769831,0.0309172884630271,0.0765280376398424
"AC115119.1",2.5649946574254,-0.107506605641982,1.96344284643335,-0.054754130397669,0.95633434418522,NA
"AC115631.1",12.2226326633995,0.597434666084174,0.938621496326054,0.636502219928532,0.524449134516348,0.657492978466441
"AC115752.1",18.8643166508031,-0.697176759448282,0.793117255122783,-0.879033654790869,0.379383028324293,0.524865226193353
"AC116597.1",4.87739560052897,-1.11328905993285,1.38581508977148,-0.803346036675373,0.421774756043566,0.56621227550764
"AC117239.2",10.6033297689436,0.111900537507697,0.973587512227752,0.114936290885293,0.908495619727192,0.942367636289974
"AC117612.1",2.82879793119047,-0.35062833932738,1.74907432524359,-0.200465088456745,0.841116859165332,NA
"AC119228.1",32.2646037269572,1.70890788538243,0.732414958450986,2.33325093331882,0.0196349790408239,0.0528482266740078
"AC119957.1",5.56316352972201,-0.449604776942723,1.31817259733533,-0.34108187186685,0.733041947987716,0.820828292382503
"AC120159.1",104.223213344343,0.153768197898365,0.459895063931325,0.33435496476937,0.738111718640536,0.824227360466239
"AC121603.3",5.08411734728363,1.49304634166616,1.5130498419379,0.986779351401851,0.323750819453471,0.467035827004177
"AC121783.1",26.4141588512419,-2.19247827256148,0.80210626775933,-2.73340124705188,0.0062683917370242,0.0202190500568395
"AC121821.1",72.111144790279,-0.497175479499247,0.495647310695301,-1.00308317783829,0.315820730478784,0.458315656444646
"AC121821.3",3635.46422897375,-0.46381913502925,0.354999637114046,-1.30653411028768,0.191370987037802,0.317789345431622
"AC121957.1",65.8985550974722,0.883092658420834,0.503103211083048,1.75529123839176,0.0792095043842714,0.160831564788357
"AC121967.1",5.92498039205744,-1.47705427702927,1.28877956950261,-1.14608759479273,0.251758909938715,0.389660727739205
"AC122117.2",2.82993105535755,0.380956230999542,2.02481994228313,0.188143263035026,0.850764347624597,NA
"AC122119.2",3.40705454468343,-0.496207087595572,1.61431400810764,-0.30737953403331,0.758554504133497,0.839733484952108
"AC122252.3",2.19353633531166,-2.14192797122147,2.09097822154444,-1.02436646596893,0.305662214855009,NA
"AC122253.2",5.44568603863987,-1.22265426856631,1.33054718190046,-0.918910870052692,0.358142193826181,0.503502041533925
"AC122253.3",4.67262203976509,-3.37608773243692,1.64070327355832,-2.05770768355629,0.0396182023612079,0.0932310995847813
"AC122399.1",93.3879744202998,3.7103924344695,0.62988289396773,5.89060676199216,3.84780187554303e-09,4.50058958085352e-08
"AC122442.1",287.397978442738,0.61458059889836,0.383445411644019,1.60278511682628,0.108982103825152,0.206317863261657
"AC122453.1",9.16848202421634,-2.55829603082453,1.1909290861911,-2.1481514394838,0.0317017269459018,0.0780661818917157
"AC122487.1",59.3031895398686,-0.991853945632682,0.513950360690538,-1.92986331267486,0.0536237762106132,0.118778092469878
"AC122818.1",1.85804073828197,0.240483352725399,2.08572967996014,0.115299386606032,0.908207824538568,NA
"AC122818.3",2.57154177994611,0.691565092411865,1.92324799229604,0.359581861092314,0.719159850235142,NA
"AC122818.4",4.61305936709397,3.0629284995498,1.64855964791986,1.85794217601685,0.0631772262051885,0.135164707350987
"AC122821.1",17.7336260004983,-0.42592695796693,0.822931316431371,-0.51757291217687,0.604756285248831,0.724131152496933
"AC122861.1",5.52057034881464,-2.4933455691004,1.42301633144269,-1.75215527327967,0.0797471120913775,0.161645840912039
"AC122861.4",459.398640183897,-1.11444831914911,0.370712496036129,-3.00623348569426,0.00264505809969755,0.00978170093410267
"AC122898.1",23.9554093516752,-1.48268727002813,0.697240340870392,-2.12650815381283,0.0334609710562964,0.0814966499123915
"AC123621.1",1.85063912762994,-1.90120664989573,2.66707982192998,-0.71284205079395,0.475943501345228,NA
"AC123927.1",2.4748224002133,-4.67766837591639,2.33077038743311,-2.00691942935997,0.0447582426858257,NA
"AC123927.3",3.68901622393459,-3.66017958293079,1.88626225711114,-1.94044044995973,0.0523261847128118,0.116438830412883
"AC123951.1",2.82042326866021,3.35705565302037,2.32709932707301,1.44259233543023,0.149135343747544,NA
"AC124108.1",86.9031187423455,0.648169324996608,0.510892928654632,1.26869895557857,0.204548455120959,0.334154314878672
"AC124169.1",9.23576201984041,0.338209055912173,1.07566218303782,0.314419397879197,0.753202525273393,0.83578167739235
"AC124459.1",1.94653852438608,-0.579966525375111,2.40820820149338,-0.240829063290898,0.80968760320311,NA
"AC124502.1",556.857635498137,0.154751931394114,0.365617942347106,0.423261315898982,0.67210461494777,0.776665813700636
"AC124502.4",10.8989854173122,2.47329043979844,1.09734752009631,2.25388073924053,0.0242036716840566,0.0626070420611331
"AC124502.5",9.98481600688697,-1.14667847626424,1.03213103447159,-1.11098149165846,0.266576316080279,0.406135648544212
"AC124512.1",8.53648654445514,0.225378790345565,1.07477865158611,0.209697866637899,0.833903490693535,0.894045929841864
"AC124513.1",6.57092120211218,0.264710168224265,1.23137872910357,0.214970554523847,0.829790275942969,0.891450536436929
"AC124518.1",4.95569125070826,5.61658171848375,1.86317157472871,3.01452737614975,0.00257379981996824,0.00953379858301408
"AC124578.1",3.61264031352416,-3.44894278464716,1.84498393058333,-1.86936196433793,0.0615724725883645,0.132384798469205
"AC125059.1",41.6025664425407,1.27293643849806,0.567701747331431,2.24226267486702,0.0249444005724448,0.0641659478830819
"AC125059.3",448.372629216531,-0.79041849263589,0.341039563138904,-2.31767389496085,0.0204670508105019,0.0546502765980992
"AC125059.4",94.5484349138965,0.479438113017346,0.450966778198163,1.06313399610708,0.287721189393147,0.428557850390283
"AC125091.2",1.6271967629688,-2.80366159951788,2.51412006558864,-1.11516615212307,0.2647792278157,NA
"AC125093.1",128.661225430445,-0.569927016869283,0.461664195078922,-1.23450556258073,0.21701457522686,0.349141144139161
"AC125101.1",3.07072290957635,1.56127680903921,1.87330695853418,0.833433518157044,0.404600277702193,0.550309312123433
"AC125110.1",7.67018834911148,0.0125028161818571,1.11259152119228,0.0112375619836279,0.991033911503054,0.994114717486134
"AC125122.2",1.76274095700694,2.27794543575438,2.4359722531852,0.935127825358359,0.349722428225709,NA
"AC125458.1",12.7515550953991,0.284936213582543,0.927114705119457,0.307336526978967,0.758587235646838,0.839733484952108
"AC126029.2",2.35137822876751,-1.18915103653323,2.03108075203657,-0.585476985757884,0.558227036928818,NA
"AC126040.2",162.298812281914,-1.1961430709668,0.418410849881146,-2.85877641869605,0.00425278410128966,0.0146028888241154
"AC126695.1",9.19928452420825,-0.371833003249155,1.06595381476509,-0.348826560868492,0.727219521726697,0.81694679537948
"AC126807.1",2.66468673775715,-3.20233855597151,2.08877622250839,-1.53311710534786,0.125247003804148,NA
"AC126937.1",73.5780135017087,0.483926862787887,0.637925420727009,0.758594730770224,0.448095025707047,0.590716355054346
