,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Hbb-bs,241.5445828,-11.39394998,1.246969934,-9.137309303,6.40E-20,2.63E-18
Hba-a1,93.25960002,-9.99451483,1.271810582,-7.858493214,3.89E-15,9.27E-14
Slc38a5,392.7037193,-9.821141006,0.986881756,-9.951689699,2.48E-23,1.54E-21
Cldn5,2105.496874,-9.387859245,0.639983402,-14.6689105,1.02E-48,4.88E-46
Mmrn1,61.03341351,-9.342249757,1.292728182,-7.226770394,4.95E-13,9.21E-12
AU021092,109.3244635,-9.294170204,1.261324128,-7.368581949,1.72E-13,3.41E-12
Chrnb4,154.550158,-8.883036015,1.111484233,-7.992048605,1.33E-15,3.31E-14
Gli1,1422.052646,-8.748411099,0.535602955,-16.33376183,5.68E-60,5.28E-57
Ptch2,644.8415819,-8.599341114,0.591157099,-14.54662582,6.14E-48,2.85E-45
Atoh1,424.7918395,-8.57575698,0.672780902,-12.7467307,3.25E-37,6.79E-35
Ptf1aos,34.35169327,-8.486707519,1.340622104,-6.330424878,2.44E-10,3.29E-09
Tie1,915.3846936,-8.442163595,0.642278325,-13.14408919,1.84E-39,5.10E-37
Sox17,154.106103,-8.29709363,0.962184479,-8.623183817,6.51E-18,2.09E-16
Siglech,29.51294211,-8.280490534,1.357455553,-6.10000859,1.06E-09,1.32E-08
Hsd11b2,516.9551805,-8.223414874,0.593504941,-13.85568057,1.18E-43,4.22E-41
Sox18,213.4360605,-8.15586566,0.803978466,-10.14438322,3.51E-24,2.45E-22
Hbb-bt,82.86342696,-8.152082512,1.084806878,-7.51477768,5.70E-14,1.20E-12
Igfbpl1,10980.07593,-7.84166164,0.35092095,-22.34594896,1.32E-110,2.09E-106
Gimap1os,21.48281081,-7.797626797,1.403166198,-5.557165507,2.74E-08,2.82E-07
Slc22a6,141.0498251,-7.762785021,0.843175353,-9.206608082,3.37E-20,1.42E-18
Zfp366,125.5261602,-7.665406629,0.872237945,-8.788205876,1.52E-18,5.22E-17
Nphs1os,34.29159124,-7.621006904,1.334760357,-5.709644331,1.13E-08,1.24E-07
Fosb,3971.513373,-7.608546912,0.389669201,-19.52565637,6.65E-85,3.50E-81
Mfng,376.6889511,-7.545914696,0.625149923,-12.07056807,1.51E-33,2.32E-31
Pcsk9,3477.666205,-7.524744017,0.570869385,-13.18120084,1.13E-39,3.23E-37
