"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC161119.1",558.804192355622,0.853643470060717,0.162497990740935,5.25325553976636,1.4943397617947e-07,2.12909453788431e-05
"Abca1",3394.91596975647,0.993544114701504,0.11668496782443,8.5147567268171,1.66940389896616e-17,1.74424884043648e-14
"Abca7",217.281727129869,-0.705404729667346,0.225107473223488,-3.13363532345733,0.00172655285936904,0.0365667563357585
"Acap3",1599.69094500259,-0.37683675681855,0.122139916552971,-3.08528749203066,0.00203355484962399,0.0412568134378407
"Acat2",734.269344101484,0.496779229928376,0.162357289903838,3.05979010996433,0.00221492155653581,0.0439298440629494
"Ackr1",1516.83823308113,-0.840843598755405,0.125980344821276,-6.67440305825707,2.48240504041697e-11,9.43163466568121e-09
"Acly",2005.98038165505,0.410983444696344,0.122120988531391,3.36537928196267,0.000764385069185366,0.0202191139186627
"Acta2",4522.44120419742,0.665881720869913,0.131553490870759,5.06168035878339,4.15577342660677e-07,4.96238925931387e-05
"Actg2",350.160801013379,0.788910950294556,0.201549804503769,3.91422334661607,9.06956571944646e-05,0.00377788089669169
"Actn1",1875.06693311838,0.56026629861296,0.121016505344541,4.62966846561837,3.66251652676922e-06,0.000304110147103527
"Adam11",1133.7765271431,-0.607248191134218,0.157146096076975,-3.86422702372936,0.000111441538649664,0.00437468720706225
"Adam22",3167.12959100223,-0.490086783925041,0.123615037439404,-3.96462108556397,7.35126245209673e-05,0.00325689500439536
"Adam8",1357.3929450518,0.638238304248665,0.137809498123142,4.63130853055105,3.63361930479587e-06,0.000303722125623538
"Adamts1",1317.8369294608,0.574073957191637,0.128934672949106,4.45244048060091,8.48997780074757e-06,0.000588106860031896
"Adamts18",709.513354197764,-0.688463088455159,0.145528642664678,-4.73077379029426,2.23665645545853e-06,0.000209277601780142
"Adamts5",342.750669615748,0.868018301874971,0.224088828707279,3.87354562421691,0.000107263314855588,0.00428301733012538
"Adamtsl1",173.792653944431,0.841556620161498,0.24188869352553,3.47910688960199,0.000503087878243041,0.014310826877028
"Adcy1",9241.91818684917,-0.722836592522482,0.111028311361339,-6.51038085385294,7.49605052618161e-11,2.68529947135043e-08
"Adgra2",1316.71122705147,0.429611812528509,0.13054811534475,3.29083121111318,0.00099891830549358,0.0244617924107002
"Adgrb2",2985.53016640508,-0.434688519675367,0.121510862279249,-3.57736346793747,0.000347077403656821,0.0107981550547127
"Adm",454.20051419935,1.05890589039386,0.185016409825135,5.72330795627625,1.04469646264107e-08,2.18306737476563e-06
"Adra2c",388.739080497908,0.724937445078454,0.195051058532933,3.7166547596872,0.000201878002398074,0.00705054705868258
"Aebp1",2943.32221552494,0.713392217045119,0.12267405993292,5.81534692367085,6.05082627401584e-09,1.33096947058966e-06
"Afap1l2",318.409122319884,-0.650911213686255,0.205189643301013,-3.1722420450401,0.00151266875281407,0.0332734049522506
"Ahnak",1874.12071910004,0.669328943716356,0.123927946577018,5.40095242601624,6.62880053322685e-08,1.06553719340511e-05
"Ajm1",2471.36347272138,-0.515858373800394,0.123985619221974,-4.16063070086251,3.17369925790699e-05,0.00164429096262966
"Akap12",4346.72314321786,0.582580327331429,0.115824176668246,5.02986806459336,4.90817453596852e-07,5.64575159008929e-05
"Alms1",384.784343818217,-0.566539705194246,0.182229376310303,-3.10893730015041,0.00187761559256146,0.0387834337718873
"Amotl2",951.112658016624,0.433213639596013,0.139177690649882,3.11266581284075,0.00185405830549638,0.0384234430319233
"Amph",1657.13910941233,-0.389170048602874,0.124237464649521,-3.13246933765703,0.00173342532460389,0.0366503991903602
"Angpt2",350.820595440977,0.695042503944973,0.190563208934097,3.64730688485279,0.00026500334531484,0.00878997868665996
"Anpep",710.612245174904,0.756245496143938,0.147298779717565,5.13409206508015,2.83509299287061e-07,3.64487784570153e-05
"Anxa1",1704.45364321113,0.487161717466628,0.125162836289081,3.89222337804377,9.93297245140039e-05,0.00403040804516693
"Anxa2",1936.66215812531,0.469590263033917,0.15246501818137,3.07998692838052,0.00207009680121282,0.0418626995058167
"Anxa3",996.11221330904,0.702687157130442,0.140331553788951,5.00733540075552,5.5188710934285e-07,6.29050961540059e-05
"Anxa5",1882.72277815485,0.425504199133949,0.121883640249908,3.49106900861758,0.000481091973676413,0.0138665084274825
"Ap1s2",554.319087988012,-0.884619752940276,0.166262943802636,-5.32060682138752,1.03421701146684e-07,1.60086578886065e-05
"Apobec1",487.212353976487,0.503407187696921,0.163906424761151,3.07130845194445,0.00213122859602592,0.0426177737431786
"Apod",1714.8750191713,-0.565163534289824,0.134373863518188,-4.20590373375195,2.60040912714174e-05,0.00141756215809144
"Apol7d",724.011597997032,0.96148249620594,0.164707751260299,5.83750606057661,5.29879678394863e-09,1.18636275137764e-06
"Aqp1",465.489819418615,0.688781576059136,0.183892013472369,3.74557634697186,0.000179980100090457,0.00635659294347647
"Arhgap25",147.612726253976,0.834513900014671,0.266916710401188,3.12649552274325,0.00176903198103488,0.0370905066525339
"Arhgap26",449.779621483388,-1.13802849543973,0.175367768338855,-6.48938232047735,8.61889970714786e-11,2.92064228454648e-08
"Arhgef3",137.995679974159,-0.86407465151441,0.284730238358421,-3.03471333601985,0.00240764410016368,0.0472410668667484
"Arpc1b",1386.26391030936,0.430955936917029,0.134280155214549,3.20937919850077,0.00133021930529389,0.0302722743349563
"Arsi",228.689104994031,0.875342545618651,0.214446138989008,4.08187598874661,4.46736335532076e-05,0.00217100006779115
"Asah1",1317.81645073384,0.383995957515047,0.127286675835175,3.01678046814803,0.00255474757685042,0.0494312116027015
"Asic2",892.334741419935,-0.548290498524285,0.145204364369745,-3.77599186432256,0.000159372192773677,0.00579190884926482
"Ass1",302.512489012495,0.801346193285886,0.196422696966637,4.07970262938604,4.50933484469765e-05,0.00218293591825557
"Astn2",1973.88636225001,-0.42659209735289,0.120720803312765,-3.53370823956225,0.00040977314744375,0.012232704101547
"Atp13a4",55.860775846467,1.29045015033059,0.418038263796461,3.08691873947429,0.00202242874988772,0.0410975877894526
"Atp1a1",7822.12832340076,-0.376250465851234,0.118907796522504,-3.16422031906062,0.00155499034267295,0.0339659737220095
"Atp1a2",3643.6291304081,-0.379750340831329,0.11339355968534,-3.34895863473297,0.000811159051926294,0.0211881504021914
"Atp1b2",5253.95005414838,-0.550205818421911,0.116477984753231,-4.7236893700348,2.31604091951581e-06,0.000213248056680333
"Atp2b2",3333.91296596621,-0.622381862481871,0.117483468822008,-5.29761224044894,1.17326786767572e-07,1.75124196725216e-05
"Atp2b3",899.812472168825,-0.507163543383953,0.156885853609641,-3.23269135945082,0.00122629973680402,0.0284728631482386
"Atp6v0d2",275.268545403212,1.08157570898075,0.207949575059206,5.20114411713901,1.98065438055702e-07,2.64185581100254e-05
"Atp6v1g2",679.804537461681,-0.451650171678003,0.148302810981894,-3.04545927813293,0.00232325237018763,0.0459446975038053
"Atp8a1",1893.6225538697,-0.52313765166385,0.125847818927433,-4.15690677933405,3.22585540764724e-05,0.0016644351893449
"Axl",867.177350773441,0.478912931633248,0.143054217999236,3.34777218268257,0.000814639484029256,0.0211932489936468
"Barhl2",417.284102699794,-0.53437613454727,0.17182129751495,-3.11006925378836,0.0018704348406725,0.0386988647398544
"Basp1",3430.18603347197,0.510060889531356,0.124309115530617,4.10316562348745,4.07535288237644e-05,0.00200532113106509
"Bc1",317.064630130506,0.674261536368977,0.187866847591323,3.58903949799452,0.00033189855731339,0.0103774167371453
"Bcat1",772.883234004981,0.521665339720143,0.160202449792877,3.25628815535963,0.00112879129307317,0.0266530795339951
"Bgn",6191.69712041756,0.4398415458321,0.111322768099198,3.95104751114493,7.78098740624907e-05,0.00336223086717778
"Bhlhe40",451.370454865778,0.919505578987104,0.168046582426159,5.47173031258246,4.45662675470071e-08,7.55097111492399e-06
"Brinp1",1049.57545434364,-0.441091572607656,0.140937704092707,-3.12969177018459,0.00174989810875155,0.0368743235084487
"Btbd3",4886.22592128022,-0.574269981904388,0.115462999794265,-4.97362776757609,6.57114294495462e-07,7.4224315534992e-05
"C1qb",830.082591708323,0.722296972227446,0.188816256983532,3.82539609547731,0.000130561993703924,0.0049605644759388
"C1qc",951.401476216455,0.693097034317741,0.181308337674827,3.82275323466258,0.000131969833319086,0.00498384870528525
"C1ql1",119.065894547203,0.889395072523972,0.281891259779897,3.15509985381746,0.00160443183254292,0.034803401931528
"C3ar1",993.211771287484,0.623679974430562,0.140324748099801,4.44454725824267,8.80771467129129e-06,0.000600169166025273
"Cacna1i",563.067326823075,-0.835759758085578,0.181608206934746,-4.60199333604938,4.18466596470226e-06,0.000324888315137085
"Cacnb4",747.006683596631,-0.621284888405265,0.172114317965092,-3.60972228081148,0.000306525009122909,0.00975434153396709
"Cadm3",8639.16762334626,-0.589389537875809,0.111599963503954,-5.28126998764591,1.28291472212315e-07,1.85016984049378e-05
"Cadps2",5020.47465077868,-0.89667411929972,0.128437321236587,-6.98141405213527,2.92223661990135e-12,1.35700010149345e-09
"Cald1",3227.15501774617,0.562193958323612,0.115403737634013,4.87154029713085,1.10731571902632e-06,0.000117656987162305
"Camk2b",2973.45539164885,-0.422563405181285,0.121871885245074,-3.46727552734205,0.000525762667227926,0.0147802966854344
"Camkk2",1263.98383061285,-0.447737431221693,0.131134393559661,-3.4143401976232,0.000639366876748226,0.0172025362675306
"Capg",375.152260317106,0.707408197338125,0.233033851880399,3.03564564388349,0.00240021269647532,0.0471690702012658
"Cbfa2t3",623.4625514029,-0.663886038235365,0.168493325360564,-3.94013256498259,8.14365950185609e-05,0.00347296608279836
"Cbln1",7416.25535209142,-0.531640737763765,0.108977124593817,-4.87846178494167,1.06916373276572e-06,0.000114574144285612
"Cbln3",762.630969092091,-1.44871493492803,0.17526474043594,-8.26586643340019,1.38683759722735e-16,1.24201212814546e-13
"Ccbe1",283.536665942668,0.848293397278999,0.203493051118331,4.1686602693166,3.06395279795554e-05,0.00160580329419912
"Ccdc80",1060.09405861919,0.573325772798675,0.140711022002154,4.07449085822073,4.61151245917929e-05,0.00222097213104489
"Ccl2",518.218198091439,0.694601915165892,0.1955489196222,3.55206214643303,0.000382224573315991,0.0116037087172782
"Ccl3",241.642957331688,1.28769637944297,0.233250881321245,5.52064957760861,3.37748743120386e-08,5.88151908506028e-06
"Ccl4",133.03413108995,1.25245118950441,0.318260880557556,3.93529731744053,8.30937643144406e-05,0.0035316258202524
"Ccl6",1304.74235384243,1.35801027995453,0.360580312616497,3.76617977310058,0.000165764455179339,0.00598949492518313
"Ccl9",500.785974071203,0.920007614036937,0.187688601796331,4.90177669411846,9.49737598785832e-07,0.000104454473803305
