




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Mus musculus - REFLIST (21997)	upload_1 (630)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
calcium-ion regulated exocytosis (GO:0017156)	26	10	.74	+	13.43	3.45E-08	9.34E-07
neurotransmitter secretion (GO:0007269)	45	16	1.29	+	12.41	6.86E-12	4.61E-10
signal release from synapse (GO:0099643)	45	16	1.29	+	12.41	6.86E-12	4.48E-10
neuron migration (GO:0001764)	9	3	.26	+	11.64	3.92E-03	4.04E-02
regulation of neurotransmitter secretion (GO:0046928)	12	4	.34	+	11.64	8.30E-04	1.07E-02
neurotransmitter transport (GO:0006836)	54	18	1.55	+	11.64	8.13E-13	6.68E-11
synaptic vesicle exocytosis (GO:0016079)	31	10	.89	+	11.26	1.34E-07	3.31E-06
dendrite morphogenesis (GO:0048813)	19	6	.54	+	11.03	5.13E-05	9.18E-04
dendrite development (GO:0016358)	30	9	.86	+	10.47	9.54E-07	2.33E-05
regulation of neurotransmitter levels (GO:0001505)	55	16	1.58	+	10.16	8.36E-11	3.87E-09
regulation of synaptic plasticity (GO:0048167)	25	7	.72	+	9.78	2.30E-05	4.45E-04
protein localization to cell junction (GO:1902414)	18	5	.52	+	9.70	3.65E-04	5.17E-03
synaptic transmission, glutamatergic (GO:0035249)	44	12	1.26	+	9.52	3.57E-08	9.54E-07
synapse assembly (GO:0007416)	26	7	.74	+	9.40	2.85E-05	5.32E-04
calcium ion import (GO:0070509)	30	8	.86	+	9.31	8.07E-06	1.72E-04
regulated exocytosis (GO:0045055)	57	15	1.63	+	9.19	1.06E-09	3.56E-08
signal release (GO:0023061)	74	19	2.12	+	8.96	9.06E-12	5.59E-10
synaptic vesicle cycle (GO:0099504)	63	16	1.80	+	8.87	4.58E-10	1.69E-08
vesicle-mediated transport in synapse (GO:0099003)	63	16	1.80	+	8.87	4.58E-10	1.67E-08
calcium ion transmembrane import into cytosol (GO:0097553)	25	6	.72	+	8.38	1.85E-04	2.89E-03
receptor localization to synapse (GO:0097120)	21	5	.60	+	8.31	6.67E-04	8.81E-03
regulation of dendrite development (GO:0050773)	17	4	.49	+	8.22	2.44E-03	2.67E-02
regulation of trans-synaptic signaling (GO:0099177)	86	20	2.46	+	8.12	1.21E-11	7.26E-10
modulation of chemical synaptic transmission (GO:0050804)	86	20	2.46	+	8.12	1.21E-11	7.07E-10
calcium ion transport into cytosol (GO:0060402)	26	6	.74	+	8.06	2.22E-04	3.36E-03
regulation of synapse structure or activity (GO:0050803)	26	6	.74	+	8.06	2.22E-04	3.33E-03
