PANTHER GO-Slim Biological Process	Mus musculus - REFLIST (21997)	upload_1 (356)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
sterol metabolic process (GO:0016125)	35	9	0.57	+	15.89	2.59E-08	2.87E-05
lipid metabolic process (GO:0006629)	453	27	7.33	+	3.68	1.69E-08	3.75E-05
cellular amide metabolic process (GO:0043603)	421	25	6.81	+	3.67	6.23E-08	4.61E-05
negative regulation of multicellular organismal process (GO:0051241)	61	9	0.99	+	9.12	1.65E-06	7.32E-04
maintenance of location (GO:0051235)	63	9	1.02	+	8.83	2.10E-06	7.76E-04
steroid metabolic process (GO:0008202)	61	9	0.99	+	9.12	1.65E-06	9.15E-04
anatomical structure formation involved in morphogenesis (GO:0048646)	113	11	1.83	+	6.01	4.87E-06	1.55E-03
sterol biosynthetic process (GO:0016126)	13	5	0.21	+	23.77	7.20E-06	2.00E-03
lipid storage (GO:0019915)	14	5	0.23	+	22.07	9.64E-06	2.38E-03
amide biosynthetic process (GO:0043604)	304	17	4.92	+	3.46	1.74E-05	3.85E-03
ribosome biogenesis (GO:0042254)	159	12	2.57	+	4.66	2.02E-05	4.07E-03
lipid localization (GO:0010876)	136	11	2.2	+	5	2.46E-05	4.56E-03
translation (GO:0006412)	262	15	4.24	+	3.54	4.19E-05	5.47E-03
ribosomal small subunit biogenesis (GO:0042274)	50	7	0.81	+	8.65	3.27E-05	5.58E-03
translational elongation (GO:0006414)	262	15	4.24	+	3.54	4.19E-05	5.81E-03
peptide biosynthetic process (GO:0043043)	265	15	4.29	+	3.5	4.74E-05	5.84E-03
cell adhesion mediated by integrin (GO:0033627)	34	6	0.55	+	10.9	3.80E-05	6.03E-03
peptide metabolic process (GO:0006518)	327	17	5.29	+	3.21	4.16E-05	6.16E-03
steroid biosynthetic process (GO:0006694)	22	5	0.36	+	14.04	6.03E-05	7.04E-03
lipid biosynthetic process (GO:0008610)	210	13	3.4	+	3.83	6.43E-05	7.13E-03
angiogenesis (GO:0001525)	57	7	0.92	+	7.59	6.98E-05	7.38E-03
catabolic process (GO:0009056)	918	32	14.86	+	2.15	8.40E-05	7.77E-03
developmental growth (GO:0048589)	80	8	1.29	+	6.18	8.12E-05	7.84E-03
non-membrane-bounded organelle assembly (GO:0140694)	129	10	2.09	+	4.79	8.01E-05	8.08E-03
actin cytoskeleton organization (GO:0030036)	290	15	4.69	+	3.2	1.23E-04	1.05E-02
growth (GO:0040007)	85	8	1.38	+	5.82	1.20E-04	1.07E-02
blood vessel morphogenesis (GO:0048514)	64	7	1.04	+	6.76	1.36E-04	1.12E-02
blood vessel development (GO:0001568)	65	7	1.05	+	6.65	1.48E-04	1.18E-02
sphingolipid catabolic process (GO:0030149)	14	4	0.23	+	17.65	1.62E-04	1.24E-02
actin filament-based process (GO:0030029)	299	15	4.84	+	3.1	1.70E-04	1.25E-02
tube morphogenesis (GO:0035239)	68	7	1.1	+	6.36	1.92E-04	1.29E-02
organic hydroxy compound metabolic process (GO:1901615)	116	9	1.88	+	4.79	1.80E-04	1.29E-02
vasculature development (GO:0001944)	68	7	1.1	+	6.36	1.92E-04	1.33E-02
ribosomal large subunit biogenesis (GO:0042273)	48	6	0.78	+	7.72	2.12E-04	1.39E-02
circulatory system development (GO:0072359)	121	9	1.96	+	4.6	2.42E-04	1.53E-02
response to interleukin-1 (GO:0070555)	31	5	0.5	+	9.97	2.50E-04	1.54E-02
regulation of multicellular organismal development (GO:2000026)	153	10	2.48	+	4.04	2.96E-04	1.77E-02
tube development (GO:0035295)	74	7	1.2	+	5.84	3.10E-04	1.81E-02
ribonucleoprotein complex biogenesis (GO:0022613)	217	12	3.51	+	3.42	3.27E-04	1.86E-02
platelet aggregation (GO:0070527)	7	3	0.11	+	26.48	4.42E-04	2.40E-02
sterol transport (GO:0015918)	19	4	0.31	+	13.01	4.41E-04	2.45E-02
positive regulation of cell migration (GO:0030335)	57	6	0.92	+	6.5	4.95E-04	2.56E-02
negative regulation of response to stimulus (GO:0048585)	261	13	4.22	+	3.08	4.85E-04	2.56E-02
