"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1bg",1.12782046516653,1.09829419677448,2.26023258757315,0.485920875051949,0.627023267192037,NA
"A1cf",6.56571874398514,-0.492830472684238,0.704478122681731,-0.699568172263724,0.484197025019577,0.644130435099823
"A2m",2064.51893944117,1.12018255820458,0.219341698764298,5.1070205278583,3.27278206287453e-07,3.49608125570607e-06
"A2ml1",24.9414404939823,0.185318784313466,0.602337371587847,0.307666090558087,0.758336424712036,0.851926471774378
"A3galt2",69.9167450591997,-0.0932890344577171,0.274198112291157,-0.340224933272547,0.733687142934416,0.836770103239235
"A4galt",83.6657009398353,0.724842266624058,0.282547606338799,2.56538102026924,0.0103062560972189,0.0340868877329507
"AA386476",7.61846550962177,0.992905073211627,0.69904610410992,1.42037137089244,0.155499592996262,0.292495394002369
"AA387200",19.5225515716051,-1.38840773692382,0.544035793885617,-2.55205218577168,0.0107090477169276,0.0350920463460159
"AA413626",6.71120136081162,-0.314242433858889,0.792850893760972,-0.396344932359535,0.691850584248393,0.806299054360937
"AA414768",102.089245172339,0.0548507607051086,0.226536106292007,0.242128116364839,0.808680892566154,0.884543486404637
"AA465934",60.6630624773544,-0.247548845786671,0.259023586478779,-0.955700016171897,0.339223814344929,0.510406634183549
"AA474408",54.3917987141545,0.910788195668463,0.296271619644514,3.07416618831492,0.00211091806924675,0.00901273580020833
"AA543186",16.7957036697697,0.453920293599332,0.467536500280486,0.970876698026816,0.331609683157568,0.50263756870664
"AA914427",32.3884242342586,0.595985218479137,0.340295478387585,1.75137566124323,0.0798812225770767,0.176968584515378
"AA986860",112.30231704688,0.542328738119862,0.21207292747649,2.55727472890184,0.0105495863005228,0.0346958532810138
"AB041806",78.0468645577117,0.267462268408949,0.282157544703536,0.947918187656376,0.343171105124715,0.514599843985224
"AB124611",15.6666241282686,-0.112172091053846,0.496750947502005,-0.225811529133306,0.821348009713171,0.893441934723794
"AC025794.1",2.44328351441473,0.160220605020138,1.57507375895862,0.101722604486834,0.918976859427115,0.951809892026266
"AC025794.2",1.10111087428472,-0.18831920887427,2.14425258566222,-0.0878251051827978,0.930015683810106,NA
"AC026385.1",49.3682034552677,-0.0570156991102495,0.290028243669952,-0.196586713034516,0.844150969174396,0.908370219190287
"AC061963.1",16.089785496033,0.170127796516589,0.544816968149678,0.312265965383534,0.754838403388643,0.849186734508115
"AC079441.1",246.841488275711,0.622859338739805,0.19254359374841,3.23490034965107,0.0012168519215673,0.00561160942357398
"AC090479.2",83.9463572639251,0.51702648370087,0.238469158601479,2.16810629405082,0.0301506000805909,0.0818213913106957
"AC090881.3",1.37648976423897,1.10617360752729,2.03477389181432,0.543634657382481,0.586692905606074,NA
"AC091309.1",4.83659598428391,1.01961539986673,0.992514154337277,1.02730565142172,0.304276562085095,0.474849708074209
"AC091309.4",2.37765776007563,1.9766832928408,1.27448283752182,1.55096893786689,0.120909128060234,0.242083828335854
"AC091332.1",2.73553098949267,1.34089178707698,1.26277856218368,1.06185821270059,0.288300057915991,0.457355443322594
"AC093020.1",58.5286717738028,-2.81628238400051,0.600604968454047,-4.68907606816774,2.74441362940594e-06,2.41708743055785e-05
"AC098707.1",3.35503901848813,0.448446456830572,1.02207099806585,0.438762529882177,0.660833613329344,0.78503894638777
"AC098880.1",5.59482165047407,-2.24374806493081,1.13730263103906,-1.9728680860264,0.0485105934814016,0.119931467543941
"AC098880.2",225.797351825961,-0.154332888080232,0.254395818060877,-0.606664406894062,0.544073647739754,0.695695169273214
"AC102055.1",68.4204376811351,0.477662428847106,0.367631596468389,1.29929645176235,0.193842211598049,0.343956202865879
"AC102106.1",5.73543214036683,1.12560005800544,0.794689818048117,1.41640176134393,0.156657908532207,0.293805195772459
"AC102132.1",80.0389628665872,0.471378179432239,0.336850021619658,1.39937108261337,0.161701733804117,0.30047588315492
"AC102232.1",2.44334999408328,0.250730910306489,1.12308861197106,0.22325122669212,0.823339984716914,0.894562733747585
"AC102342.1",2.28387477190635,1.01869938178229,1.50724573730272,0.675868145830884,0.4991243637047,0.657801812021423
"AC102342.2",22.2116141179015,0.0802081403413631,0.407945560495741,0.196614813613594,0.844128977303043,0.908370219190287
"AC102492.2",3.28549928875964,-0.0509144746569161,1.05657937120994,-0.0481880264221055,0.961566392633781,0.977957067522164
"AC102496.1",277.162663918163,0.618777974920914,0.23483364956086,2.63496298796203,0.00841464580697227,0.0287415451804912
"AC103362.1",1.08690562252331,-0.901301627549311,2.0161871244084,-0.447032726594649,0.654851430655388,NA
