"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2m",2064.51893944117,1.12018255820458,0.219341698764298,5.1070205278583,3.27278206287453e-07,3.49608125570607e-06
"A4galt",83.6657009398353,0.724842266624058,0.282547606338799,2.56538102026924,0.0103062560972189,0.0340868877329507
"AA387200",19.5225515716051,-1.38840773692382,0.544035793885617,-2.55205218577168,0.0107090477169276,0.0350920463460159
"AA474408",54.3917987141545,0.910788195668463,0.296271619644514,3.07416618831492,0.00211091806924675,0.00901273580020833
"AA986860",112.30231704688,0.542328738119862,0.21207292747649,2.55727472890184,0.0105495863005228,0.0346958532810138
"AC079441.1",246.841488275711,0.622859338739805,0.19254359374841,3.23490034965107,0.0012168519215673,0.00561160942357398
"AC093020.1",58.5286717738028,-2.81628238400051,0.600604968454047,-4.68907606816774,2.74441362940594e-06,2.41708743055785e-05
"AC102496.1",277.162663918163,0.618777974920914,0.23483364956086,2.63496298796203,0.00841464580697227,0.0287415451804912
"AC106834.1",9.03606350018656,-2.53157038012235,0.839759529583966,-3.01463727524062,0.00257286750265627,0.0106551261947461
"AC113458.1",263.821662233408,0.763593382128603,0.20745199832896,3.6808196029896,0.000232485449900096,0.00131086641304494
"AC113961.1",8.10603742865642,1.74093768975068,0.678367888892691,2.56636217346968,0.010277145887546,0.0340126669235708
"AC115119.1",23.5468097978454,1.63441031848507,0.457460542995656,3.57278970505788,0.00035319839549764,0.00189512075648308
"AC122117.2",50.226582453488,1.40330533671825,0.398392887172215,3.52241564019599,0.000427633115938592,0.00224387725178139
"AC124108.1",211.570248180984,-1.18271831283131,0.173283386036247,-6.82534165499234,8.77163052839718e-12,1.73612682400411e-10
"AC125059.1",57.722246082404,-0.779016814037847,0.290039844979511,-2.68589584335518,0.00723356342265114,0.0253282775584421
"AC127249.1",51.9996187523968,1.02226536644679,0.345955436690012,2.95490475949009,0.003127655865856,0.0125688409128007
"AC132288.2",50.8978506473136,2.06684922916686,0.401698938433437,5.14526933336504,2.6713726327338e-07,2.89510450184255e-06
"AC132307.1",173.237257020364,-0.802057266833838,0.25225240394112,-3.17958225294475,0.00147487504976499,0.00660834238573017
"AC132307.3",79.230060771987,0.590214644625981,0.240717577938993,2.45189674006925,0.0142105434850277,0.0442273515747979
"AC133451.2",20.7738455642055,2.56568638177163,0.483720267786724,5.30407045690066,1.13248569349899e-07,1.30950142769073e-06
"AC133525.2",59.5057322464565,-1.00739791334609,0.280224887263216,-3.59496232895203,0.000324438518781526,0.00175979742683216
"AC134591.1",6.24867240237406,-3.34611800013262,1.20679482903283,-2.77273146986744,0.00555879702518485,0.0203228033844102
"AC142448.2",30.9838277968333,1.07869838611449,0.40947126744747,2.6343689334756,0.00842938407554903,0.028778471475574
"AC144792.1",30.9258255996476,-1.30460147455953,0.487549591119123,-2.67583338869168,0.007454369231203,0.0259408887265278
"AC145590.1",3.02252536415191,-3.8972155346935,1.55974917645797,-2.49861682475363,0.012467903992187,0.0397152725109308
"AC147020.1",3.41086541214304,-4.4753597307152,1.49913227630664,-2.98530009756111,0.00283300239022058,0.0115717956730743
"AC154538.2",34.5223680095677,-1.52971130306531,0.476946226683242,-3.20730350191291,0.001339855586694,0.0061016792857272
"AC157548.2",15.513214922091,-2.99278959541425,0.67508135183322,-4.43322806545784,9.28325751330746e-06,7.30900620337566e-05
