"","p14_1","p14_2","p14_3","p60_1","p60_2","p60_3","p7_1","p7_2","p7_3","Gene"
"A1bg",3.94681959180372,4.26915876137029,3.94681959180372,3.94681959180372,4.32345067233676,4.29878195671709,4.6636280876042,3.94681959180372,4.62895390602379,"A1bg"
"A1cf",5.22283915066365,4.94805273773266,5.15741732573034,4.73164010522718,5.10949603477481,4.92589336506064,4.30797798885145,4.32062439631151,4.50548537441962,"A1cf"
"A2m",11.0950771843224,10.1702959411284,10.9945513875757,12.0555000577484,11.7430878351512,11.9289700393342,9.57555815801005,9.07264860898158,9.20754845538317,"A2m"
"A2ml1",5.26478914581098,5.86959347180981,5.33222324248975,4.62854551761038,6.00286523465285,5.78453770396383,6.04663780930595,5.88485809991205,5.62781666547599,"A2ml1"
"A3galt2",6.34405696774949,6.84011303225262,6.57737930339009,6.60568509436918,6.35475671282767,6.63624936917265,6.62013828491263,6.56934359077409,6.92326976523969,"A3galt2"
"A4galt",6.88268029946598,6.22531404540306,6.33360423659341,7.25961123129877,6.85116228825905,7.02769129747863,6.64904506902105,6.86103842239866,6.92326976523969,"A4galt"
"AA386476",4.86331195426415,4.7284351313303,4.56528737666322,4.97593095163481,4.99210659779452,5.13519563191127,4.82037893055,5.04469038380761,5.16714679173093,"AA386476"
"AA387200",5.30511617953692,5.62056132032208,5.48242828032589,4.90235884448628,4.99210659779452,4.86477231022008,6.02401857573196,5.38582614006356,6.12039164734103,"AA387200"
"AA413626",4.9812832044218,4.89850070263331,4.56528737666322,4.73164010522718,4.8568339971039,4.64563940813467,5.29917629650479,4.98454309832297,4.73210749613293,"AA413626"
"AA414768",7.02394838391228,7.26446514149099,7.22061347684715,7.46621162450672,7.09713834892733,7.06846517782597,6.7589668795523,6.70826738249008,6.41656587834131,"AA414768"
"AA465934",6.59106127962771,6.66043019620823,6.79695758074697,6.69176895940659,6.48362732849437,6.33023111442904,6.21470770689603,6.28086111868693,6.01403103425302,"AA465934"
"AA474408",6.23836602037891,6.30095680975031,5.84281109509981,6.87882558692333,6.6488314729274,6.81592515397489,6.21470770689603,6.08626561480333,5.7703688998088,"AA474408"
"AA543186",5.22283915066365,5.16162396037959,5.40987294261556,5.6641265409647,5.43698964137173,5.3072008708536,5.52613277402052,5.42663924912632,5.27628915649811,"AA543186"
