Gene,p7_1,p7_2,p7_3,p14_1,p14_2,p14_3,p60_1,p60_2,p60_3,
A1cf,4.307977989,4.320624396,4.505485374,5.222839151,4.948052738,5.157417326,4.731640105,5.109496035,4.925893365,
A2m,9.575558158,9.072648609,9.207548455,11.09507718,10.17029594,10.99455139,12.05550006,11.74308784,11.92897004,
AA387200,6.024018576,5.38582614,6.120391647,5.30511618,5.62056132,5.48242828,4.902358844,4.992106598,4.86477231,
AA474408,6.214707707,6.086265615,5.7703689,6.23836602,6.30095681,5.842811095,6.878825587,6.648831473,6.815925154,
AA914427,5.592684461,5.644825187,5.421343507,5.8823371,5.62056132,5.966471013,6.331035229,6.027859263,6.204287795,
AA986860,6.024018576,6.062747746,6.570950586,7.171024316,7.219803719,7.201730625,7.629505353,7.695327056,7.625782476,
AC061963.1,5.655667456,5.38582614,5.928071159,5.179093247,5.270333086,4.88231934,5.420515172,5.109496035,5.036497131,
AC079441.1,6.823483592,6.585491888,6.96507186,8.230440016,8.159274299,8.136020993,8.379277993,8.973929956,8.816719349,
AC093020.1,7.508227879,7.769412727,7.145187199,5.519944586,5.848923786,5.248511745,3.946819592,4.693849087,4.726269941,
AC098880.1,5.491362539,4.984543098,4.732107496,4.797297984,4.789397855,4.659186687,4.342841854,4.323450672,4.298781957,
AC102055.1,5.977552029,5.677543196,6.456836917,6.393931778,6.16152992,7.093097181,6.756965507,6.991758551,7.11782314,
AC102132.1,6.560431554,5.91184255,6.495946694,6.712596753,6.517825025,6.952852671,6.569682018,7.522503106,7.048226244,
AC106834.1,5.340411871,5.38582614,4.976533522,5.133345086,5.336957764,5.002544992,3.946819592,4.477965382,4.645639408,
AC107792.1,5.063780699,5.044690384,5.044477838,4.298206152,4.587560629,4.565287377,4.342841854,4.477965382,4.298781957,
AC107792.3,5.655667456,5.426639249,5.589360288,4.552486881,4.728435131,4.565287377,4.342841854,4.595538721,4.443350558,
AC109619.1,6.415698594,6.260600531,6.589075644,7.054620303,6.990340682,6.22222789,7.568208314,7.216058715,7.037996327,
AC110913.1,5.41845159,5.426639249,5.107768521,4.924342624,5.081941746,4.88231934,4.82166924,4.779768568,4.443350558,
AC113458.1,5.211512424,5.466009544,4.902921446,8.185464291,8.151427994,8.574747737,8.829010638,9.286497314,8.911059792,
AC113599.1,5.744339049,5.709394492,5.421343507,5.034786019,4.898500703,5.002544992,4.731640105,5.109496035,4.726269941,
AC113961.1,4.307977989,3.946819592,4.505485374,4.924342624,4.587560629,4.815017732,5.374307659,5.353288973,5.554479493,
AC115119.1,5.008974566,4.984543098,4.822187252,5.343966955,5.3996943,5.248511745,5.664126541,6.585121911,6.295445077,
AC115752.1,6.112220008,5.709394492,5.508431805,5.133345086,5.784774642,5.291197604,5.04383899,4.992106598,5.181007278,
AC117816.1,4.307977989,3.946819592,3.946819592,5.085345012,4.502841779,4.565287377,4.342841854,4.992106598,4.86477231,
AC121967.1,4.888069113,5.253266338,5.32684085,4.442542171,4.401737764,4.453070666,4.342841854,4.779768568,4.443350558,
AC122117.2,5.299176297,4.320624396,4.628953906,6.019459124,6.094492203,6.07920065,6.605685094,7.074394468,7.398409687,
AC122211.2,5.380127104,5.154490335,4.976533522,3.946819592,4.502841779,4.815017732,4.505148894,4.323450672,4.55346985,
AC122487.1,5.800061259,6.038795502,6.476532524,5.133345086,5.3996943,5.446737061,5.107096432,5.721332054,5.675011681,
AC122487.2,4.307977989,4.590723327,4.505485374,4.924342624,4.789397855,4.88231934,5.326058067,5.21407975,5.703332298,
AC122861.4,8.384554369,8.186531649,8.673856996,6.182193312,6.413738342,7.248472651,6.28680807,6.212194678,7.382411939,
AC124108.1,7.832740248,7.951078476,8.012418281,8.324689039,8.290063422,8.367878698,7.541108342,7.184607908,7.156099861,
AC124316.1,3.946819592,3.946819592,4.343081986,4.442542171,4.587560629,4.305706542,4.82166924,4.992106598,4.645639408,
AC124512.1,5.256269211,5.299310689,5.276289156,4.863311954,4.587560629,3.946819592,4.82166924,3.946819592,4.443350558,
AC125059.4,7.515960791,7.461756223,7.77752611,8.62314676,8.72707274,8.656020255,8.32231465,8.613663793,8.278346683,
AC125101.1,4.746238033,4.590723327,4.505485374,4.644512397,5.081941746,5.157417326,5.166444018,5.656414421,5.419957554,
AC125122.2,4.663628088,4.474001429,5.107768521,4.298206152,4.269158761,4.305706542,3.946819592,3.946819592,4.298781957,
AC125458.1,5.299176297,5.253266338,5.803546522,5.133345086,4.994921327,5.705524433,5.107096432,4.693849087,4.86477231,
AC126040.2,7.492634749,7.345509091,7.108487008,6.93871559,6.789639991,6.516528704,6.264132787,6.601328649,6.295445077,
AC126937.1,5.953671129,5.989514628,6.310291547,5.452837559,5.806528255,5.762291818,5.464877754,5.436989641,5.522305252,
AC126937.2,8.034046394,7.981223872,8.051273817,6.576869092,6.542648195,6.562418739,6.193688181,6.295513364,6.38077481,
AC127249.1,6.978446597,6.617228705,6.310291547,5.85796779,5.717103733,5.676112896,6.067198601,6.664307965,6.364137183,
AC127256.1,6.154178737,6.197895906,6.820568005,4.725018687,4.789397855,5.203988695,4.505148894,4.477965382,4.86477231,
AC131185.1,4.746238033,4.474001429,4.505485374,3.946819592,3.946819592,3.946819592,4.342841854,4.477965382,4.55346985,
AC131323.2,4.307977989,3.946819592,4.732107496,4.797297984,4.789397855,4.741308563,5.166444018,4.992106598,5.266819912,
AC131692.1,5.41845159,5.044690384,5.167146792,3.946819592,4.661754141,3.946819592,3.946819592,3.946819592,3.946819592,
AC131712.1,5.063780699,5.154490335,5.276289156,5.034786019,5.368777421,5.446737061,6.067198601,5.622588347,5.522305252,
AC132253.6,7.696777114,7.391353509,7.192679545,6.123519571,6.614523374,5.966471013,5.984943651,5.95136738,5.731005309,
AC132288.2,5.299176297,6.014390877,5.957371974,5.486885905,6.005526597,5.291197604,7.01754827,7.205652789,6.779338162,
AC132455.1,7.044559754,6.502772188,7.108487008,5.343966955,5.3996943,5.762291818,4.975930952,5.052653307,5.224813133,
AC133451.2,4.950627878,4.688333195,4.976533522,4.981283204,5.16162396,4.659186687,6.352613003,6.275167702,6.065058152,
AC133509.1,5.827006935,5.800235406,5.549601477,5.085345012,5.199167673,4.815017732,4.975930952,4.595538721,4.726269941,
AC133525.2,6.649045069,6.874128584,6.533963778,6.646406025,6.517825025,6.663869899,5.897041016,5.782956826,6.106372538,
AC134546.1,5.063780699,5.466009544,5.223174336,4.552486881,3.946819592,4.305706542,3.946819592,3.946819592,3.946819592,
