,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
En1,63.14588852,-4.104304928,0.508200313,-8.076155845,6.68E-16,2.02E-12
CT010467.1,9625.947837,-2.381849463,0.3360459,-7.087869435,1.36E-12,1.72E-09
Lars2,2030.251856,-1.978006664,0.094632735,-20.90192852,5.14E-97,7.78E-93
Kdm6bos,102.7534382,-1.919967946,0.299309652,-6.414654309,1.41E-10,1.12E-07
Th,54.8014885,-1.86565965,0.408322669,-4.569081739,4.90E-06,0.000823573
Layn,37.25981924,-1.683970372,0.48755635,-3.453898962,0.000552544,0.036036847
Aqp6,99.97339145,-1.446897394,0.337254294,-4.290226749,1.78E-05,0.002455222
Shroom3,97.29461262,-1.428510047,0.300002514,-4.761660254,1.92E-06,0.00038227
Vwa7,76.63372416,-1.42170904,0.356743845,-3.985237754,6.74E-05,0.006986438
Mab21l2,65.087189,-1.405010228,0.38378731,-3.660908509,0.000251322,0.019601859
Car4,716.1636604,-1.342868852,0.139979725,-9.593309655,8.53E-22,4.30E-18
Car9,183.2542613,-1.241842323,0.230459686,-5.388544714,7.10E-08,2.29E-05
Sowaha,376.0163789,-1.076266074,0.168899601,-6.372223915,1.86E-10,1.41E-07
Plk5,130.2641699,-1.071477756,0.26473135,-4.047415441,5.18E-05,0.005696579
Mybpc1,728.8404598,-1.046306074,0.131164739,-7.977037767,1.50E-15,3.78E-12
Abi3,256.0085689,-1.016073479,0.191354673,-5.309896342,1.10E-07,3.33E-05
Patj,490.1171405,-1.005913217,0.17553228,-5.730645197,1.00E-08,4.73E-06
Zfhx4,149.5883188,-0.986412337,0.237935848,-4.145707113,3.39E-05,0.004048487
Mapk12,165.2638886,-0.950465612,0.234078171,-4.060462397,4.90E-05,0.005448898
Trp73,141.6878506,-0.919930443,0.256214385,-3.590471486,0.00033008,0.024127757
Exph5,389.96528,-0.876369034,0.154979357,-5.654746877,1.56E-08,6.95E-06
Inf2,381.711746,-0.862653843,0.162472483,-5.309538109,1.10E-07,3.33E-05
Cnpy1,3887.168519,-0.861425001,0.079971961,-10.77158785,4.69E-27,3.55E-23
Penk,518.4131822,-0.831261469,0.139228565,-5.970480754,2.37E-09,1.38E-06
Kcnk12,391.6118957,-0.822549727,0.165377276,-4.973777206,6.57E-07,0.000150532
Bcl6,397.1783091,-0.812616242,0.157393404,-5.162962511,2.43E-07,6.34E-05
Ache,609.9816043,-0.80024318,0.1379098,-5.802656371,6.53E-09,3.64E-06
Sowahb,250.1457462,-0.797477839,0.186805006,-4.269038901,1.96E-05,0.002628737
Sv2c,564.596722,-0.782147073,0.139157596,-5.620584838,1.90E-08,8.23E-06
Adamts10,1165.817686,-0.778260694,0.110858191,-7.020326486,2.21E-12,2.58E-09
Paqr6,197.3944695,-0.764914011,0.212103656,-3.606321668,0.000310568,0.023148799
Nab2,391.2062353,-0.764794078,0.174941699,-4.371708303,1.23E-05,0.001828747
Tmem91,249.0364668,-0.764287857,0.191776356,-3.985308053,6.74E-05,0.006986438
