"","X","res_1.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation","seqnames","start","end","width"
"10",10,"peak26",3.04377951845422,1106.06211854331,0.248778463753029,0.261958651140716,0.949686000709301,0.342271825140401,0.823580728876394,0.0842938240750834,"Not Sig","Unchanged","Rgs20","Promoter (<=1kb)","chr1",5018192,5020554,2363
"12",12,"peak31",1.60888223957306,40.6333135613485,-1.96346513123342,0.73112692971965,-2.68553249978948,0.00724143317996007,0.0700329011318821,1.15469788251292,"Not Sig","Unchanged","Oprk1","Promoter (<=1kb)","chr1",5588383,5589086,704
"13",13,"peak32",2.09577133063097,124.672690143109,-1.13923979078622,0.445131305257901,-2.5593342398737,0.0104872856074059,0.0936221432967331,1.02862142076797,"Not Sig","Unchanged","Npbwr1","Promoter (<=1kb)","chr1",5916495,5917490,996
"14",14,"peak34",3.23433841896282,1715.29340946287,-0.0314754146034914,0.269370931509914,-0.116847851500016,0.90698062342938,0.994109904506638,0.00256559922219406,"Not Sig","Unchanged","Rb1cc1","Promoter (<=1kb)","chr1",6214020,6215606,1587
"15",15,"peak35",1.92643610209415,84.4182027961114,-0.445705975599037,0.51685986005856,-0.862334280608556,0.388503593701113,0.854488895892975,0.0682935765754752,"Not Sig","Unchanged","Alkal1","Promoter (<=1kb)","chr1",6358898,6359603,706
"19",19,"peak57",2.74479187529427,555.63791796224,-1.19020280112186,0.282230041943317,-4.21713717266463,2.47423476270416e-05,0.000625552808071145,3.20373602204436,"Sig","Down","Sntg1","Promoter (<=1kb)","chr1",9298490,9300214,1725
"21",21,"peak59",1.83800589032298,68.8661636577979,0.0926566707551599,0.556904732287672,0.166377955480001,0.867859521135564,0.992721182671607,0.00317271105164155,"Not Sig","Unchanged","Vxn","Promoter (<=1kb)","chr1",9601330,9602097,768
"22",22,"peak60",3.11997915237744,1318.19345923683,-0.167495740842966,0.29010028285919,-0.577371863247255,0.56368827722963,0.943446133399462,0.0252828910848536,"Not Sig","Unchanged","Mybl1","Promoter (<=1kb)","chr1",9699542,9701165,1624
"24",24,"peak63",2.81634970629157,655.163518055475,0.0743263859557223,0.37058814444401,0.200563312858358,0.841040047206035,0.992161666657211,0.00341755645811652,"Not Sig","Unchanged","Sgk3","Promoter (<=1kb)","chr1",9797655,9798781,1127
"25",25,"peak64",2.34645940781394,222.054412623643,-0.574855397163138,0.356914913058602,-1.61062308166639,0.10726189984272,0.464651831601995,0.332872346573687,"Not Sig","Unchanged","Sgk3","Promoter (<=1kb)","chr1",9847954,9848854,901
"28",28,"peak67",2.17102658144665,148.260882698827,-0.553356120268124,0.414999217618842,-1.33339075539259,0.182403604580325,0.622874143328623,0.205599697128384,"Not Sig","Unchanged","Tcf24","Promoter (<=1kb)","chr1",9967237,9968473,1237
