"","X","res_1.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation","seqnames","start","end","width"
"2",2,"peak11",1.32432944143445,21.1022829235896,-0.531411645772213,0.949088604371962,-0.559917844682018,0.575535476437491,0.946725457272613,0.0237759446272382,"Not Sig","Unchanged","Sox17","Promoter (1-2kb)","chr1",4491945,4492287,343
"3",3,"peak12",1.25231511332277,17.8778427637263,-0.769712216584978,1.00402348140181,-0.766627704274718,0.443302898785247,0.8902561030161,0.0504850404033518,"Not Sig","Unchanged","Sox17","Promoter (1-2kb)","chr1",4492360,4492627,268
"4",4,"peak13",1.55930303756591,36.2495848840124,-0.813284079813108,0.738889582905968,-1.1006841869587,0.271034130828064,0.750136459577765,0.124859725607119,"Not Sig","Unchanged","Sox17","Promoter (<=1kb)","chr1",4493059,4493562,504
"120",120,"peak273",2.92861979938735,848.437390173314,0.491894309389415,0.315835580913055,1.55743791743599,0.119366549590811,0.495390576391976,0.305052259074143,"Not Sig","Unchanged","Mgat4a","Promoter (<=1kb)","chr1",37540200,37541533,1334
"132",132,"peak292",2.97348337206056,940.769809862388,0.487205518228556,0.283610777498432,1.71786672751267,0.0858209269568381,0.404790974074174,0.392769179847809,"Not Sig","Unchanged","Npas2","Promoter (<=1kb)","chr1",39192766,39194560,1795
"134",134,"peak297",2.91225199047557,817.056314034419,0.434945434698335,0.299926544689839,1.45017319206648,0.147010228747481,0.55701868962117,0.254130232720041,"Not Sig","Unchanged","Tbc1d8","Promoter (<=1kb)","chr1",39477675,39478951,1277
"299",299,"peak611",2.47731301238592,300.132490750858,0.712325032661237,0.334838723141911,2.12736754571645,0.0333895565157483,0.216880228060616,0.663780038744544,"Not Sig","Unchanged","Tmbim1","Promoter (<=1kb)","chr1",74303540,74304531,992
"302",302,"peak615",3.05230222418456,1127.98214239202,0.385885463741111,0.301338180187533,1.28057275550334,0.200343774573732,0.655421262204463,0.183479473987682,"Not Sig","Unchanged","Ctdsp1","Promoter (<=1kb)","chr1",74391429,74392698,1270
"316",316,"peak633",2.15684517731483,143.497778347551,0.834312239179685,0.417682872038681,1.99747773976813,0.0457733102576026,0.269008348466951,0.57023424179362,"Not Sig","Unchanged","Fev","Promoter (1-2kb)","chr1",74881985,74882832,848
"331",331,"peak649",1.37354337370037,23.6343342733028,-0.608078889602955,0.884138980465621,-0.687763918386131,0.491601461230195,0.913826544867872,0.0391362306946268,"Not Sig","Unchanged","Des","Promoter (<=1kb)","chr1",75360448,75360855,408
"332",332,"peak650",1.20926156331826,16.1905485513891,3.94909330483196,1.26842538614718,3.11338242513992,0.00184956187338316,0.02382399920393,1.62298533410369,"Sig","Up","Gm15179","Promoter (<=1kb)","chr1",75369486,75369965,480
"333",333,"peak651",0.913629173398826,8.19651378085453,3.02358085881822,1.70119134952779,1.77733143285585,0.0755137248847414,NA,NA,NA,NA,"Gm15179","Promoter (<=1kb)","chr1",75370045,75370284,240
