"","res_1.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation","seqnames","start","end","width"
"1","peak6",3.16651768142841,1467.29582369702,0.0372365703051406,0.295659786818843,0.125943980092079,0.899776268747972,0.993771129640492,0.0027136242336229,"Not Sig","Unchanged","Xkr4","Promoter (<=1kb)","chr1",3670397,3672471,2075
"2","peak11",1.32432944143445,21.1022829235896,-0.531411645772213,0.949088604371962,-0.559917844682018,0.575535476437491,0.946725457272613,0.0237759446272382,"Not Sig","Unchanged","Sox17","Promoter (1-2kb)","chr1",4491945,4492287,343
"3","peak12",1.25231511332277,17.8778427637263,-0.769712216584978,1.00402348140181,-0.766627704274718,0.443302898785247,0.8902561030161,0.0504850404033518,"Not Sig","Unchanged","Sox17","Promoter (1-2kb)","chr1",4492360,4492627,268
"4","peak13",1.55930303756591,36.2495848840124,-0.813284079813108,0.738889582905968,-1.1006841869587,0.271034130828064,0.750136459577765,0.124859725607119,"Not Sig","Unchanged","Sox17","Promoter (<=1kb)","chr1",4493059,4493562,504
"5","peak18",2.91375381631425,819.886652544604,-0.0691612426204311,0.274634200375698,-0.251830407596064,0.801172152731045,0.988194213823461,0.0051576933649376,"Not Sig","Unchanged","Mrpl15","Promoter (<=1kb)","chr1",4785100,4786281,1182
"6","peak19",2.85240467708618,711.87653369625,0.0199737946682656,0.334343550342159,0.059740331906582,0.952362448865366,0.996775620336407,0.00140259275839149,"Not Sig","Unchanged","Lypla1","Promoter (<=1kb)","chr1",4807325,4808545,1221
"7","peak20",0.965709719134278,9.24080315523217,-2.8357020255417,1.52506857734713,-1.85939312347148,0.0629714358030257,NA,NA,NA,NA,"Lypla1","Promoter (1-2kb)","chr1",4834946,4835274,329
"8","peak21",0.643276083491001,4.39821123394676,-4.15814663972408,2.4632460360474,-1.68807605041207,0.0913966311693707,NA,NA,NA,NA,"Lypla1","Promoter (1-2kb)","chr1",4835327,4835544,218
"9","peak22",3.01616330524284,1037.91862498845,-0.134204813384118,0.310597054003999,-0.432086562490029,0.665678500688325,0.968630836362538,0.0138417093046335,"Not Sig","Unchanged","Tcea1","Promoter (<=1kb)","chr1",4857442,4858760,1319
"10","peak26",3.04377951845422,1106.06211854331,0.248778463753029,0.261958651140716,0.949686000709301,0.342271825140401,0.823580728876394,0.0842938240750834,"Not Sig","Unchanged","Rgs20","Promoter (<=1kb)","chr1",5018192,5020554,2363
"11","peak27",2.89455165039784,784.425404605678,0.0372881834880526,0.296224521167614,0.1258781121194,0.899828408840127,0.993771129640492,0.0027136242336229,"Not Sig","Unchanged","Atp6v1h","Promoter (<=1kb)","chr1",5082928,5083755,828
"12","peak31",1.60888223957306,40.6333135613485,-1.96346513123342,0.73112692971965,-2.68553249978948,0.00724143317996007,0.0700329011318821,1.15469788251292,"Not Sig","Unchanged","Oprk1","Promoter (<=1kb)","chr1",5588383,5589086,704
"13","peak32",2.09577133063097,124.672690143109,-1.13923979078622,0.445131305257901,-2.5593342398737,0.0104872856074059,0.0936221432967331,1.02862142076797,"Not Sig","Unchanged","Npbwr1","Promoter (<=1kb)","chr1",5916495,5917490,996
"14","peak34",3.23433841896282,1715.29340946287,-0.0314754146034914,0.269370931509914,-0.116847851500016,0.90698062342938,0.994109904506638,0.00256559922219406,"Not Sig","Unchanged","Rb1cc1","Promoter (<=1kb)","chr1",6214020,6215606,1587
"15","peak35",1.92643610209415,84.4182027961114,-0.445705975599037,0.51685986005856,-0.862334280608556,0.388503593701113,0.854488895892975,0.0682935765754752,"Not Sig","Unchanged","Alkal1","Promoter (<=1kb)","chr1",6358898,6359603,706
"16","peak39",2.10225118031308,126.546803707146,-0.187638621254283,0.434051625119895,-0.432295631199291,0.665526562007449,0.968630836362538,0.0138417093046335,"Not Sig","Unchanged","St18","Promoter (<=1kb)","chr1",6729921,6730700,780
"17","peak40",1.91437913968961,82.1068025073272,0.308058925849272,0.509224695253183,0.604956768045405,0.545207722310963,0.936826301278082,0.0283409250027367,"Not Sig","Unchanged","St18","Promoter (<=1kb)","chr1",6734787,6735337,551
"18","peak42",2.88005405599264,758.671999935746,-0.00757950888028376,0.268864602585327,-0.0281908023867825,0.97750997294246,0.998203581708456,0.000780876151495825,"Not Sig","Unchanged","Pcmtd1","Promoter (<=1kb)","chr1",7088236,7089762,1527
"19","peak57",2.74479187529427,555.63791796224,-1.19020280112186,0.282230041943317,-4.21713717266463,2.47423476270416e-05,0.000625552808071145,3.20373602204436,"Sig","Down","Sntg1","Promoter (<=1kb)","chr1",9298490,9300214,1725
"20","peak58",3.07629440129719,1192.049805736,-0.300564058371781,0.260635003944672,-1.1531991245335,0.248828662785556,0.725794824104191,0.139186133229708,"Not Sig","Unchanged","Rrs1","Promoter (<=1kb)","chr1",9545313,9546793,1481
"21","peak59",1.83800589032298,68.8661636577979,0.0926566707551599,0.556904732287672,0.166377955480001,0.867859521135564,0.992721182671607,0.00317271105164155,"Not Sig","Unchanged","Vxn","Promoter (<=1kb)","chr1",9601330,9602097,768
"22","peak60",3.11997915237744,1318.19345923683,-0.167495740842966,0.29010028285919,-0.577371863247255,0.56368827722963,0.943446133399462,0.0252828910848536,"Not Sig","Unchanged","Mybl1","Promoter (<=1kb)","chr1",9699542,9701165,1624
"23","peak61",3.10146305403798,1263.17363951202,0.0122315086644895,0.274868849040468,0.0444994356660936,0.964506301806181,0.997146899090265,0.00124085696942197,"Not Sig","Unchanged","Vcpip1","Promoter (<=1kb)","chr1",9747284,9748524,1241
"24","peak63",2.81634970629157,655.163518055475,0.0743263859557223,0.37058814444401,0.200563312858358,0.841040047206035,0.992161666657211,0.00341755645811652,"Not Sig","Unchanged","Sgk3","Promoter (<=1kb)","chr1",9797655,9798781,1127
"25","peak64",2.34645940781394,222.054412623643,-0.574855397163138,0.356914913058602,-1.61062308166639,0.10726189984272,0.464651831601995,0.332872346573687,"Not Sig","Unchanged","Sgk3","Promoter (<=1kb)","chr1",9847954,9848854,901
"26","peak65",1.65058066770214,44.7281223988204,-0.282551666148759,0.665919873867662,-0.424302798635065,0.671344998464378,0.968630836362538,0.0138417093046335,"Not Sig","Unchanged","Mcmdc2","Promoter (<=1kb)","chr1",9908501,9909006,506
"27","peak66",2.91947336884163,830.755774773612,-0.610868244087604,0.267682803108806,-2.28206009871805,0.0224857923177369,0.16339629964303,0.78675778294932,"Not Sig","Unchanged","Snhg6","Promoter (<=1kb)","chr1",9942804,9944296,1493
"28","peak67",2.17102658144665,148.260882698827,-0.553356120268124,0.414999217618842,-1.33339075539259,0.182403604580325,0.622874143328623,0.205599697128384,"Not Sig","Unchanged","Tcf24","Promoter (<=1kb)","chr1",9967237,9968473,1237
"29","peak68",1.49827704883761,31.4975699316447,-0.492120499521663,0.787990200368989,-0.624526167065554,0.532282091088411,0.929899467517436,0.0315640009755793,"Not Sig","Unchanged","Ppp1r42","Promoter (<=1kb)","chr1",10008802,10009332,531
"30","peak69",3.08197324813775,1207.73943795106,-0.289021154890227,0.262775644717098,-1.09987801647822,0.271385274210157,0.750583331905379,0.124601084130095,"Not Sig","Unchanged","Cspp1","Promoter (<=1kb)","chr1",10037328,10038712,1385
"31","peak70",2.91537996149016,822.962339611134,0.0298395101394173,0.286402828557156,0.104187204748442,0.917020787840494,0.995297646751418,0.00204702276078076,"Not Sig","Unchanged","Cspp1","Promoter (<=1kb)","chr1",10039663,10040370,708
"32","peak71",0.9262304143318,8.43782306556769,-0.565197547578378,1.62858708227392,-0.347047789909534,0.728555416147697,NA,NA,"Not Sig","Unchanged","Arfgef1","Promoter (<=1kb)","chr1",10214992,10215202,211
"33","peak72",3.25092726438255,1782.08027974003,-0.00155603615295408,0.32091154627677,-0.00484880077082697,0.996131231886237,0.999171383851281,0.000360012597738288,"Not Sig","Unchanged","Arfgef1","Promoter (<=1kb)","chr1",10231872,10233603,1732
"34","peak75",2.64659474008909,443.194885631148,-0.686494585589609,0.299690654371006,-2.29067732202204,0.0219820831886869,0.161014698627478,0.793134476505864,"Not Sig","Unchanged","Prex2","Promoter (<=1kb)","chr1",10993288,10994377,1090
"35","peak76",2.53641128479189,343.883457647373,0.059721143058606,0.320932570111541,0.1860862642824,0.852377113296849,0.992721182671607,0.00317271105164155,"Not Sig","Unchanged","A830018L16Rik","Promoter (<=1kb)","chr1",11413669,11414889,1221
"36","peak82",1.41976046333922,26.28817658267,-0.760540023930477,0.872994330056136,-0.871185525204467,0.383652862036702,0.851554255763139,0.0697876762652282,"Not Sig","Unchanged","Sulf1","Promoter (<=1kb)","chr1",12692796,12693413,618
"37","peak84",1.78747733748178,61.302380227625,-0.352076551536192,0.582344376844389,-0.604584787860451,0.545454916788028,0.936826301278082,0.0283409250027367,"Not Sig","Unchanged","Sulf1","Promoter (<=1kb)","chr1",12835790,12836553,764
"38","peak85",2.41481044913461,259.90249529529,-1.66545681831446,0.354038529381021,-4.70416827576999,2.54902946478582e-06,8.44225194330763e-05,4.07354169127714,"Sig","Down","Slco5a1","Promoter (<=1kb)","chr1",12990417,12991334,918
"39","peak86",2.8731336998146,746.678591917812,-0.518834574504327,0.285033935446745,-1.82025545025415,0.0687201122966304,0.350690731799471,0.455075711682043,"Not Sig","Unchanged","Slco5a1","Promoter (<=1kb)","chr1",12991483,12992910,1428
"40","peak88",0.950668949654013,8.92624801805544,-1.12150532759771,1.49681111611489,-0.749263093735351,0.453698647501885,NA,NA,NA,NA,"Prdm14","Promoter (<=1kb)","chr1",13126317,13126616,300
"41","peak93",3.4005331145173,2514.971769752,0.219347159001304,0.316467220023195,0.693111782589131,0.488239403931485,0.912740319748072,0.0396527643517102,"Not Sig","Unchanged","Ncoa2","Promoter (<=1kb)","chr1",13372359,13374669,2311
"42","peak95",3.02947289620859,1070.21958972176,0.0470010908677263,0.349944764598407,0.134310027245769,0.89315742449033,0.992999104137933,0.00305114331542224,"Not Sig","Unchanged","Tram1","Promoter (<=1kb)","chr1",13588938,13589981,1044
"43","peak97",2.64654948194112,443.148702371987,0.512980016371748,0.307738188231863,1.66693649338459,0.0955270334356974,0.431987008642592,0.364529313739885,"Not Sig","Unchanged","Lactb2","Promoter (<=1kb)","chr1",13659950,13660909,960
"44","peak98",2.47366128391315,297.619432276414,-1.41016320952523,0.33314950251082,-4.23282399912763,2.30775101706583e-05,0.000588464141982991,3.23027999571499,"Sig","Down","Eya1","Promoter (<=1kb)","chr1",14309429,14310296,868
"45","peak101",2.68045766351204,479.134742964,-0.936881118672633,0.291163402703767,-3.21771592848785,0.0012921572441393,0.0177185665679066,1.75157141545287,"Not Sig","Unchanged","Msc","Promoter (<=1kb)","chr1",14755018,14756220,1203
"46","peak103",1.32878193211723,21.3197413779296,-1.73686762457675,0.952629199128786,-1.82323576283949,0.0682676907156437,0.349477980530535,0.456580182537302,"Not Sig","Unchanged","Trpa1","Promoter (<=1kb)","chr1",14918512,14919043,532
"47","peak104",3.07555519705535,1190.02256655815,-0.227659535581206,0.277132905706726,-0.821481429643455,0.411372097602095,0.867560211794024,0.0617003738945189,"Not Sig","Unchanged","Kcnb2","Promoter (<=1kb)","chr1",15286307,15288043,1737
"48","peak106",3.00652732356589,1015.14323213308,-0.285377123654503,0.26951187222699,-1.05886661428462,0.289660530736681,0.771271817208323,0.112792537760424,"Not Sig","Unchanged","Terf1","Promoter (<=1kb)","chr1",15805449,15806532,1084
"49","peak108",2.36853229828166,233.63198467949,-0.104062753376314,0.348835780585453,-0.298314448138504,0.765463178019039,0.985733978958791,0.00624027274455299,"Not Sig","Unchanged","Sbspon","Promoter (<=1kb)","chr1",15892309,15893146,838
"50","peak109",1.99138760763763,98.0364570023005,0.847906261324366,0.486662064890773,1.74228961428229,0.0814577798169316,0.391349361798186,0.407435370079059,"Not Sig","Unchanged","4930444P10Rik","Promoter (<=1kb)","chr1",16092835,16093532,698
"51","peak110",2.83492872858936,683.799420784187,-0.216571182904883,0.2772029043219,-0.781273137937226,0.434641865539437,0.883919611170727,0.0535872304761599,"Not Sig","Unchanged","Rpl7","Promoter (<=1kb)","chr1",16103626,16104452,827
"52","peak111",3.19484269413141,1566.18367973457,0.184562530683599,0.264039423219192,0.698996113661348,0.484554459588178,0.910941964313298,0.0405092908440787,"Not Sig","Unchanged","Rdh10","Promoter (<=1kb)","chr1",16104673,16106358,1686
"53","peak115",3.08437203359802,1214.42873203493,-0.0688729600136393,0.31737612786385,-0.21700737379714,0.828202598409637,0.991403304561795,0.00374963783094772,"Not Sig","Unchanged","Stau2","Promoter (<=1kb)","chr1",16518493,16520200,1708
"54","peak117",3.17527809478735,1497.19405783104,0.0373572668566918,0.288427801682204,0.129520339713482,0.896945931740983,0.993263215796425,0.00293564775835059,"Not Sig","Unchanged","Ube2w","Promoter (<=1kb)","chr1",16618345,16619734,1390
"55","peak118",2.91828814771491,828.491672890195,-0.266136963246268,0.279076887082571,-0.953633122500486,0.340269383455545,0.821445855077714,0.0854210574461264,"Not Sig","Unchanged","Eloc","Promoter (<=1kb)","chr1",16656186,16657539,1354
"56","peak119",2.87302885106294,746.498348161623,0.0323142786693468,0.276548933143115,0.116848321568552,0.906980250920671,0.994109904506638,0.00256559922219406,"Not Sig","Unchanged","Tmem70","Promoter (<=1kb)","chr1",16665049,16665945,897
"57","peak120",2.1664257469474,146.698524917005,-0.266304555312387,0.406775803319513,-0.654671573724879,0.512679231023118,0.921381561460762,0.0355604830275218,"Not Sig","Unchanged","Ly96","Promoter (<=1kb)","chr1",16688290,16689132,843
"58","peak128",3.16219608811043,1452.76740790193,0.796803661124362,0.270933468642563,2.94095692612849,0.00327200029554818,0.0377151933291602,1.42348366173639,"Not Sig","Unchanged","Jph1","Promoter (<=1kb)","chr1",17096509,17098012,1504
"59","peak129",2.53247124195119,340.777758481198,0.304449573089592,0.324874145488547,0.937130816094213,0.348691271707386,0.828328911152313,0.0817971802023537,"Not Sig","Unchanged","Gdap1","Promoter (<=1kb)","chr1",17145231,17145989,759
"60","peak131",1.79161640296086,61.8894186124036,-1.86292197082243,0.600686578710276,-3.10132111628376,0.0019265923845168,0.0246396144555439,1.60836609200842,"Sig","Down","Gm16070","Promoter (<=1kb)","chr1",17727140,17727951,812
