"","X","res_1.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation","seqnames","start","end","width"
"58",58,"peak128",3.16219608811043,1452.76740790193,0.796803661124362,0.270933468642563,2.94095692612849,0.00327200029554818,0.0377151933291602,1.42348366173639,"Not Sig","Unchanged","Jph1","Promoter (<=1kb)","chr1",17096509,17098012,1504
"76",76,"peak175",2.72240863756741,527.72617746598,0.660469207757514,0.283812933247804,2.32712864843563,0.0199584191580013,0.150453342898609,0.822598158297509,"Not Sig","Unchanged","Col19a1","Promoter (<=1kb)","chr1",24586342,24587611,1270
"88",88,"peak216",3.03553808927194,1085.27072781474,0.525322033881506,0.291773826597776,1.80044262368224,0.0717907756428183,0.36063647451822,0.442930351155191,"Not Sig","Unchanged","Dst","Promoter (<=1kb)","chr1",33906962,33909058,2097
"89",89,"peak219",2.66056035857867,457.678338951338,-0.203191230510328,0.307973126332433,-0.659769353677305,0.509401852720471,0.920260912356738,0.0360890240326485,"Not Sig","Unchanged","Dst","Promoter (<=1kb)","chr1",34005784,34006896,1113
"90",90,"peak220",2.70203847972902,503.545222353451,-0.319956885335657,0.333224023805289,-0.960185528287766,0.336961848961572,0.818945688900271,0.0867448989636676,"Not Sig","Unchanged","Dst","Promoter (<=1kb)","chr1",34011112,34012234,1123
"91",91,"peak221",1.52407742918402,33.4254628064161,-0.349902179353152,0.752635089427889,-0.464902825111606,0.642001047303259,0.964158780986422,0.0158514390973494,"Not Sig","Unchanged","Dst","Promoter (<=1kb)","chr1",34236296,34236865,570
"95",95,"peak225",2.59304325902079,391.780899510171,0.593689526016306,0.307164976951773,1.93280344623899,0.0532604156545675,0.297445668741271,0.526592350677362,"Not Sig","Unchanged","Ptpn18","Promoter (<=1kb)","chr1",34459267,34460386,1120
"96",96,"peak226",2.05510362949318,113.528167941723,-0.340437687683478,0.455242314704595,-0.747816441238303,0.454570883703787,0.89666660261975,0.0473690057379498,"Not Sig","Unchanged","Ptpn18","Promoter (<=1kb)","chr1",34472519,34473278,760
"97",97,"peak228",1.10349868164322,12.6910829189782,0.884719015572103,1.29900447492601,0.681074648047303,0.495824257701112,NA,NA,"Not Sig","Unchanged","Cfc1","Promoter (1-2kb)","chr1",34536927,34537247,321
"98",98,"peak229",2.82049666712534,661.449461350928,0.98054603387143,0.295130668612876,3.32241321608503,0.00089242427051157,0.0130978814433934,1.88279894494349,"Not Sig","Unchanged","Amer3","Promoter (<=1kb)","chr1",34578954,34580468,1515
"99",99,"peak233",2.414662394296,259.813907331852,-0.411792428500498,0.338545999418434,-1.21635591384299,0.223849370336216,0.693175646846141,0.15915670364151,"Not Sig","Unchanged","Arhgef4","Promoter (<=1kb)","chr1",34677867,34679286,1420
"100",100,"peak234",2.93304269829761,857.122110302722,0.835525744538663,0.293030056139358,2.85133121000157,0.00435365939104387,0.0471666259436816,1.32636518982279,"Not Sig","Unchanged","Arhgef4","Promoter (<=1kb)","chr1",34750161,34751523,1363
"101",101,"peak235",2.39623595395372,249.020989195549,-0.584253715557819,0.361563086973779,-1.61591085098847,0.106113589217427,0.461526215918063,0.335803624854353,"Not Sig","Unchanged","Arhgef4","Promoter (<=1kb)","chr1",34801508,34802479,972
"241",241,"peak511",2.84025222009403,692.232874141156,-0.0514166955836936,0.274437405340923,-0.187353088839404,0.851383800949722,0.992721182671607,0.00317271105164155,"Not Sig","Unchanged","Nrp2","Promoter (<=1kb)","chr1",62702815,62703858,1044
"242",242,"peak512",2.71135390796146,514.4627181233,0.142536503951586,0.28610972451944,0.498188253443659,0.618351361028975,0.958072108775015,0.0186018027538683,"Not Sig","Unchanged","Nrp2","Promoter (2-3kb)","chr1",62706042,62707309,1268
"315",315,"peak631",3.21678232537378,1647.33651587229,0.959361813012827,0.287883620332049,3.33246404191488,0.000860805934436994,0.0127201453330376,1.89550792666121,"Not Sig","Unchanged","Cdk5r2","Promoter (<=1kb)","chr1",74854833,74856746,1914
"316",316,"peak633",2.15684517731483,143.497778347551,0.834312239179685,0.417682872038681,1.99747773976813,0.0457733102576026,0.269008348466951,0.57023424179362,"Not Sig","Unchanged","Fev","Promoter (1-2kb)","chr1",74881985,74882832,848
"326",326,"peak644",3.03329002814195,1079.66749911581,1.34920037397084,0.254466106074453,5.3020828383961,1.14488865144544e-07,5.16850965968471e-06,5.28663466771514,"Sig","Up","Tuba4a","Promoter (<=1kb)","chr1",75217372,75219971,2600
"328",328,"peak646",2.72756700170491,534.031656088739,0.885897087077714,0.291217795023682,3.04204311074354,0.00234978238043641,0.0289313159003736,1.53863181262668,"Not Sig","Unchanged","Ptprn","Promoter (<=1kb)","chr1",75263134,75264854,1721
"332",332,"peak650",1.20926156331826,16.1905485513891,3.94909330483196,1.26842538614718,3.11338242513992,0.00184956187338316,0.02382399920393,1.62298533410369,"Sig","Up","Gm15179","Promoter (<=1kb)","chr1",75369486,75369965,480
"333",333,"peak651",0.913629173398826,8.19651378085453,3.02358085881822,1.70119134952779,1.77733143285585,0.0755137248847414,NA,NA,NA,NA,"Gm15179","Promoter (<=1kb)","chr1",75370045,75370284,240
"334",334,"peak652",2.91066083606171,814.068285966108,1.41703037628605,0.268592501722383,5.27576297625275,1.32204874334626e-07,5.90109974727033e-06,5.22906704434711,"Sig","Up","Speg","Promoter (<=1kb)","chr1",75381602,75382941,1340
"335",335,"peak653",1.08483583164497,12.1572635510295,-1.56933127909735,1.30131086497976,-1.20596186609243,0.227832194399701,NA,NA,NA,NA,"Speg","Promoter (2-3kb)","chr1",75388191,75388487,297
"336",336,"peak654",2.12809807226211,134.306821819661,2.09021344638477,0.471083220235278,4.43703650777634,9.12058296740019e-06,0.000261116473378361,3.58316572843887,"Sig","Up","Speg","Promoter (<=1kb)","chr1",75422086,75423561,1476
"340",340,"peak661",2.35489367406148,226.408993499991,-0.48212603963337,0.354057565291717,-1.3617165311413,0.17328736214759,0.606544009541463,0.217137682171541,"Not Sig","Unchanged","Obsl1","Promoter (<=1kb)","chr1",75487146,75488167,1022
"341",341,"peak662",3.03742740694301,1090.0022814327,0.40509347717052,0.290411107620824,1.39489663632092,0.163047011613428,0.587290151899328,0.231147281656002,"Not Sig","Unchanged","Obsl1","Promoter (<=1kb)","chr1",75505101,75506687,1587
"347",347,"peak681",2.96455342533876,921.623256526459,1.44626809593657,0.264865503761617,5.46038678271309,4.75098387234572e-08,2.45718820232559e-06,5.60956157852145,"Sig","Up","Sgpp2","Promoter (<=1kb)","chr1",78309967,78311651,1685
"477",477,"peak997",2.18174328379227,151.96489830904,0.524377926384331,0.403035415597655,1.30107158351516,0.193233953421547,0.641810218909288,0.192593372343999,"Not Sig","Unchanged","Bcl2","Promoter (<=1kb)","chr1",106712470,106712954,485
"478",478,"peak998",2.92133327834807,834.321198567225,0.222757511693613,0.295547134646844,0.753712303656034,0.451021992337077,0.893767031954647,0.0487756690359652,"Not Sig","Unchanged","Bcl2","Promoter (<=1kb)","chr1",106713452,106714603,1152
"506",506,"peak1071",2.06957659116748,117.375266453671,-1.92133787566703,0.525048576467718,-3.65935260427309,0.000252853228041395,0.00461932796941725,2.33542120202026,"Sig","Down","C1ql2","Promoter (<=1kb)","chr1",120340342,120341545,1204
"507",507,"peak1072",1.48870053898878,30.8106271870426,-1.97446389734949,0.812673758459242,-2.42958982838686,0.0151159186298946,0.123074202643334,0.909832969195035,"Not Sig","Unchanged","C1ql2","Promoter (1-2kb)","chr1",120342247,120342619,373
"552",552,"peak1178",2.71196561367104,515.187851707259,2.14815702543324,0.312055102086522,6.88390291031878,5.82345723368561e-12,6.44399400216811e-10,9.19084487247791,"Sig","Up","Mfsd4a","Promoter (<=1kb)","chr1",132066925,132068356,1432
